title	review
Marie & The Deceptive Self Serving Narcissist 6/6/2022	"I’m reaching out to Marie as my heart broke listening to her story. 🫶 Marie I understand every word you spoke, even the silent sentences you were unable to speak. I heard you.  I lived through the same nightmare. 
I’m sending love and hugs to you and thank you so much for sharing your story. 
Corinne Qld Australia.   💗"
So validating	Thanks so much for your podcast. It is healing and validating listening to peoples stories. It has given me strength to move on from a toxic relationship. Thank you ❤️❤️❤️
Important work	"Thank you for producing this important volume of work. 
These personal stories and informative episodes are highly valuable. 
Your efforts are helping survivors and appreciated."
Ads	I’ve loved  this podcast for a long time. I’m not entirely happy with the poor choice of irrelevant ads. This has taken away from the survivor stories and has lessened the quality of the podcast. Some podcasters choose their ads and make them relevant with a personal tone. I’ve stopped listening to this podcast.
Excellent and real	"Listening to the podcast from
The Australian Capital Territory. Fabulous podcast with Sophia, I love the host sharing his family story.  Filled with insight and wisdom, making me feel less alone amongst a family of narcissists. Thank you.  X"
Excellent on every level	Brandon provides a marvellous platform on this essential topic. Thank you to the guests for their integrity and courage. It is validating and 100% healing.
Great podcast but be wary of some stories	Listening to the story told by Meredith. It feels like a fabrication. Other than this, I am so thankful you are creating a platform for survivors to share their stories and designing community-based support systems :)
Validating!	This podcast is informative, relatable and validating for those who have been in these relationships. Sometimes after an abusive relationship ends you have been so heavily gaslit and traumatised that you still question whether you made the right decision in leaving them and wonder if you should go back to them. Hearing these people’s experiences makes me feel less alone and also continues to educate me. Everyone who comes on this show is really brave and chad has done a fantastic job at creating a safe space for these victims to tell their story.
Fantastic podcast!	This podcast is super helpful in allowing survivors come to grips with what happened to them, whilst informing people what the red flags look like and how to watch out for them.   You don’t have to have been in a toxic relationship to appreciate this podcast; for those who who have crossed paths with a narcissist, it goes a long way to explain bizarre behaviour you may have encountered and why it’s pointless to try and explain why you don’t want to have anything to do with them any more; it’s better to just go no-contact. To say that people enjoy being stuck in a toxic relationship is victim-blaming and not at all helpful.  Keep up the great work Brandon, maybe we’ll get to a point in the future where it’s studied in schools and young people are far less likely to end up in these situations from being better educated.
A lightbulb has turned on	"Listening to these stories has been like a revelation to me. Has started to bring up little memories that appeared to be so minute at the time but still caused that little pang, or seed of doubt, now I can see them for what they were - red flags. 
This podcast is brilliant. Highly recommend to anyone who is in any type of relationship where something is just not quite right."
Unbelievable	I can’t believe that people will put up with such bad behaviour. I think a lot of these people enjoy being victims. I have had a narcissistic/sociopath/bi polar father and was able to put distance between us. This podcast is super annoying as everyone blames everyone else except themselves.
Lamely lame in a lame way	Not funny, not interesting. These people are not narcissist survivors. They'd all narcissist themselves.
Informative and Helpful	"I’m hooked. Love Chad. He has what it takes to be a top notch podcaster. He is educated, empathetic and shares his own experiences. 
The stories have helped me immensely and for that I’m grateful ♥️"
So important	This podcast has helped me more than therapy!
thank you	i found your videos on tik tok, i have to say i really enjoy what you have to say. you’ve definitely opened my eyes on a lot i wasn’t aware of. thank you, i’ve learned a lot about my self, my environment and the things i have control over.
Just Wow	I came across your TikTok and the stuff you were talking about I was just shocked because it’s everything that I’m currently going through being in a relationship with someone who is a narcissist. Dealing with hours and days of constant arguing no accountability infidelity and every single time it somehow is my fault. I somehow am pushing him to be a physical abuser and so on. This show is such a great show and I wish I would’ve found this five years ago because I would’ve seen all the signs and noticed things and moved on as to now he has such a hold on me and has me in this box I literally have to build from the ground up as I don’t have a whole lot of support before I can move on
