index,user,timestamp,rating,title,review,review_raw
6,The_Real_Honest_Reviewer,20230222T040224,1,"Gross, Unveiled Racism With No Journalism In Sight","If you seek unbiased or fact-based reporting, ""Nice White Parents"" is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed ""reporter"" admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don't want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren't the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig's name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I'd give negative stars if possible.","If you seek unbiased or fact-based reporting, “Nice White Parents” is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed “reporter” admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don’t want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren’t the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig’s name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I’d give negative stars if possible."
62,HollyNLib18,20221018T192358,1,Woke Propaganda,Covid scare tactics. Deleted.,"Covid scare tactics. 

Deleted."
70,Hkrem,20221016T172942,1,Woke Trash,This podcast was good for one season and now it's just liberal propaganda. Skip this if you have a brain.,This podcast was good for one season & now it’s just liberal propaganda. Skip this if you have a brain.
88,SaraTheWeeze,20221013T132147,1,Leftist Garbage,The title says it all. Take a listen and you'll see the leftist woke B. S. they spew. China loving communist.,The title says it all. Take a listen and you’ll see the leftist woke B. S. they spew. China loving communist.
143,alsjfktkebjgbt,20220920T145320,2,"Went Woke, Got Broke.","Fantastic first season - basically began the entire generation of true crime investigative podcasts. Then went down the typical ""everybody is racist, no one is culpable for anything they do because of racism"". In a time when there are literal Muslim grooming gangs operating in the UK (a story they wouldn't dare touch), they choose to focus on woke garbage. This is what is to be expected by any product put out by PRI (Propaganda Radio International).","Fantastic first season - basically began the entire generation of true crime investigative podcasts. Then went down the typical “everybody is racist, no one is culpable for anything they do because of racism”. In a time when there are literal Muslim grooming gangs operating in the UK (a story they wouldn’t dare touch), they choose to focus on woke garbage. This is what is to be expected by any product put out by PRI (Propaganda Radio International)."
214,MylissaR,20220319T063131,5,Woke Overload.,Wokism ruins everything.,Wokism ruins everything.
217,Iamnate85,20220313T172145,1,Was Good...,"Season 1 was good, but the woke took over. Bummer...","Season 1 was good, but the woke took over.  Bummer…"
245,666oclock,20211209T083934,3,S3+=Boring,"The first 2 seasons of Serial are some of the most memorable podcasting I can think of. It feels like y'all fell into the guilty ""woke"" white people pressure of trying to cover relevant news S3 onward, but it's profoundly boring and I can't stand to listen ever since. There are so many other podcasts doing this work and in a way that isn't this tedious to listen to. S1 + S2 were so incredible because it felt like a film that got perfectly treated into podcast form in a way that was still incredibly relevant today's news and culture. Both of those first two seasons say way more about the country we've become than the desperate fake woke white person journalism happening in S3+. I appreciate your work, I just wish you all would return to form and to what made Serial so incredible in the first place, long form is where you shine. Please consider how trite it is to add to the noise the way these last few years of content do. It feels like content by people for white people to feel better during a civil rights crisis, whereas S1 and S2 feel accessible to everyone and have a huge impact that simultaneously provide startling commentary on the current culture. Sorry this is so long, it's been bothering me that every time I check for more Serial, it's just this same bloated fake-woke, current-climate journalism that we're already inundated with everywhere. It's very sanitized when you come to think of it! And Serial started out so much bigger than that!","The first 2 seasons of Serial are some of the most memorable podcasting I can think of. It feels like y’all fell into the guilty “woke” white people pressure of trying to cover relevant news S3 onward, but it’s profoundly boring and I can’t stand to listen ever since. There are so many other podcasts doing this work and in a way that isn’t this tedious to listen to. S1 + S2 were so incredible because it felt like a film that got perfectly treated into podcast form in a way that was still incredibly relevant today’s news and culture. Both of those first two seasons say way more about the country we’ve become than the desperate fake woke white person journalism happening in S3+. I appreciate your work, I just wish you all would return to form and to what made Serial so incredible in the first place, long form is where you shine. Please consider how trite it is to add to the noise the way these last few years of content do. It feels like content by people for white people to feel better during a civil rights crisis, whereas S1 and S2 feel accessible to everyone and have a huge impact that simultaneously provide startling commentary on the current culture. Sorry this is so long, it’s been bothering me that every time I check for more Serial, it’s just this same bloated fake-woke, current-climate journalism that we’re already inundated with everywhere. It’s very sanitized when you come to think of it! And Serial started out so much bigger than that!"
282,Jethro_4303,20210806T133028,1,Not Actual Reporting,"The narrator decides in season one than a murderer is not guilty ""because he is cute."" Obviously, the narrator cares nothing about the victim, the victim's family, or actual justice. Don't waste your time on this woke nonsense.","The narrator decides in season one than a murderer is not guilty “because he is cute.” 

Obviously, the narrator cares nothing about the victim, the victim’s family, or actual justice. 

Don’t waste your time on this woke nonsense."
283,Taki Z,20210804T005038,1,Great Start... Lousy Ever Since,"Series 1 is as good as any podcast I've ever followed. It was spectacular. Don't waste your time on the rest. It's nothing but lazy and propagandized woke tax that white liberals feel they have to pay in order to appease the woke-masters who are single-handedly destroying our culture. As a 41 year old black man, I am begging you to stop these lies that are distorting the minds of our young people. DO NOT WASTE YOUR TIME WITH THIS!","Series 1 is as good as any podcast I’ve ever followed. It was spectacular.

Don’t waste your time on the rest. It’s nothing but lazy and propagandized woke tax that white liberals feel they have to pay in order to appease the woke-masters who are single-handedly destroying our culture. As a 41 year old black man, I am begging you to stop these lies that are distorting the minds of our young people.

DO NOT WASTE YOUR TIME WITH THIS!!"
