index,user,timestamp,rating,title,review,review_raw
0,Syd.14,20230308T035121,5,Season Three Episode One,If you are looking for a story that goes into the justice system but also has a interesting story this is the podcast. Sarah Koenig makes sure the listeners understands the story step by step. During the podcast they use old lips that Sarah goes back and forth explainingn why people are doing this. This was great listening to and totally recommended for others.,If you are looking for a story that goes into the justice system but also has a interesting story this is the podcast. Sarah Koenig makes sure the listeners understands the story step by step. During the podcast they use old lips that Sarah goes back and forth explainingn why people are doing this. This was great listening to and totally recommended for others.
1,CharF28,20230308T011412,5,Great Episode,"I think this is a great episode of Serial. I love how they always go in-depth into what they are talking about and how so much information also has people in the story so you don't get bored of the same person. Usually, I like to listen to podcasts on youtube so I can watch them talk but this podcast just keeps drawing me back in and always keeps me thinking so I don't need to see the actual people speaking. I really think people should watch this. It goes in-depth and you also learn the backstory and the now. You also get to learn things that we can do to better the justice system in America and you learn things that relate to your episode.","I think this is a great episode of Serial. I love how they always go in-depth into what they are talking about and how so much information also has people in the story so you don't get bored of the same person. Usually, I like to listen to podcasts on youtube so I can watch them talk but this podcast just keeps drawing me back in and always keeps me thinking so I don't need to see the actual people speaking. I really think people should watch this. It goes in-depth and you also learn the backstory and the now. You also get to learn things that we can do to better the justice system in America and you learn things that relate to your episode."
2,Birgittenyc,20230306T235622,5,"Always Thorough, Thoughtful And Very Well Written",I have not yet been disappointed and it's been a long run,I have not yet been disappointed and it’s been a long run
3,Brooke Jones-Henderson,20230217T230647,5,So Excited For The New Season,I have been disappointed with the past few seasons but so excited for the new season! I wish they would release more episodes!,I have been disappointed with the past few seasons but so excited for the new season!!! I wish they would release more episodes!
7,Maxcraft430,20230209T185713,5,Ok Serial,"do all your serials need to be about crime? If you like comedy then the best serial for comedy is ""Community News podcast"" with Paul and Sasha. It's the serial for Hilarious, ridiculous, hyper local community and funny neighborhood nonsense that goes on everywhere. What serial is to crime...Community News is to comedy. listen to both. My 2 favorite serial, episodic podcasts.","do all your serials need to be about crime? If you like comedy then the best serial for comedy is “Community News podcast” with Paul and Sasha. It’s the serial for Hilarious, ridiculous, hyper local community and funny neighborhood nonsense that goes on everywhere. What serial is to crime...Community News is to comedy. listen to both. My 2 favorite serial, episodic podcasts."
9,Mccoyallen,20230121T230842,5,Great Podcast But You Helped A Guilty Man Go Free,Adnon is lying. Jay may have the timeline mixed up but he is so detailed that I don't think he fabricated the entire story. It seems to me that they probably killed her together and turned on each other afterward.,Adnon is lying.  Jay may have the timeline mixed up but he is so detailed that I don’t think he fabricated the entire story.  It seems to me that they probably killed her together and turned on each other afterward.
16,Aliemarie27,20230117T235557,5,Heard About This Podcast From The Year 2022 On Hulu,"I started listening to this Friday evening - 1/13/2023! Already on Season 3. Gripping, captivating, real! I commend this entire team for all they do and the stories you tell and follow. Thank you for this! Glad I found you","I started listening to this Friday evening - 1/13/2023! Already on Season 3. Gripping, captivating, real! I commend this entire team for all they do and the stories you tell and follow. Thank you for this! Glad I found you"
17,Ceesfire,20230113T205357,5,Serial Was My First Podcast - Hooked For Life!,"Serial was the first podcast I ever listened to, and I used to wait on baited breath for the next episode of season 1. I have listened to thousands of episodes of other podcasts since then. This is still one of my top favorites. The quality and the subjects they choose - the way they let people who lived it tell it. It's excellent. Love your work, guys! I actually found Ira and This American Life from you... instead of the other way around - lol","Serial was the first podcast I ever listened to, and I used to wait on baited breath for the next episode of season 1. I have listened to thousands of episodes of other podcasts since then. This is still one of my top favorites. The quality and the subjects they choose - the way they let people who lived it tell it. It’s excellent. Love your work, guys! I actually found Ira and This American Life from you… instead of the other way around - lol"
18,Beck1988,20230108T172412,5,Great Storytelling And Topics,Overall a great podcast that keeps you intrigued and hooked with their storytelling. Love how descriptive they are with their wording. Also love how in-depth they get in their investigations to find out more information (i.e. Sarah Koenig speaking to Afghanis in Season 2. What other reporters do that?) P.S. Don't listen to commenters giving poor reviews because they don't agree with the politics of the COVID-19 pandemic and vaccines.,Overall a great podcast that keeps you intrigued and hooked with their storytelling. Love how descriptive they are with their wording. Also love how in-depth they get in their investigations to find out more information (i.e. Sarah Koenig speaking to Afghanis in Season 2. What other reporters do that?) P.S. Don’t listen to commenters giving poor reviews because they don’t agree with the politics of the COVID-19 pandemic and vaccines.
20,QuaveK,20230104T195239,5,Serial Productions Is In A League Of Their Own,"I've listened to every season. The thing that makes these podcasts different is the uncanny way they tell a story that gets you thinking about the complexities of life from a certain angle, then in the very next episode, they add details that have you reexamining your entire worldview. Excellent for developing critical thinking skills while being entertained by fascinating, human stories. As long as they keep recording, I'll keep coming back for more.","I’ve listened to every season. The thing that makes these podcasts different is the uncanny way they tell a story that gets you thinking about the complexities of life from a certain angle, then in the very next episode, they add details that have you reexamining your entire worldview. Excellent for developing critical thinking skills while being entertained by fascinating, human stories. As long as they keep recording, I’ll keep coming back for more."
