index,user,timestamp,rating,title,review,review_raw
6,The_Real_Honest_Reviewer,20230222T040224,1,"Gross, Unveiled Racism With No Journalism In Sight","If you seek unbiased or fact-based reporting, ""Nice White Parents"" is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed ""reporter"" admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don't want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren't the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig's name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I'd give negative stars if possible.","If you seek unbiased or fact-based reporting, “Nice White Parents” is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed “reporter” admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don’t want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren’t the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig’s name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I’d give negative stars if possible."
12,msh441,20230205T195636,3,Infatuation And Prioritization,"Great podcast series. Very well produced. I think season 1 and Adnan's case / exhortation in particular is a couple well spoken women (Koenig and McLean) becoming infatuated with a charismatic killer. A single witness in a library (McLean), some collected evidence that was deeming to be unrelated, and different interpretations of cell phone tower data is enough to ignore several eyewitness who were present when Jay and Adnan spoke about the crime, call recipients, and physical evidence that matches testimony. The explanation presented is 'witnesses forget', and dependence on tower data, from towers that have changed over the years. Specifically how they prioritize and hand off calls. Koenig should've spoken with Hae's friends and family more. The 'possessive stalker' behavior exhibited by Adnan was brushed over in episode 1, and never again comes up!?! Because Koenig is infatuated with him. A fact she acknowledges in multiple episodes. Adnan ultimately benefitted from stoked racial tensions of the day, and is a free man today.","Great podcast series. Very well produced. I think season 1 and Adnan’s case / exhortation in particular is a couple well spoken women (Koenig and McLean) becoming infatuated with a charismatic killer. A single witness in a library (McLean), some collected evidence that was deeming to be unrelated, and different interpretations of cell phone tower data is enough to ignore several eyewitness who were present when Jay and Adnan spoke about the crime, call recipients, and physical evidence that matches testimony. The explanation presented is ‘witnesses forget’, and dependence on tower data, from towers that have changed over the years.  Specifically how they prioritize and hand off calls. Koenig should’ve spoken with Hae’s friends and family more.  The ‘possessive stalker’ behavior exhibited by Adnan was brushed over in episode 1, and never again comes up!?!  Because Koenig is infatuated with him. A fact she acknowledges in multiple episodes.  Adnan ultimately benefitted from stoked racial tensions of the day, and is a free man today."
15,Blashphmemer,20230122T012815,1,Has Aged Poorly. Disappointed,"Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don't know what really happened, but I know Adnan is a liar or at least he's a half liar with an awful spotty memory. Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. I couldn't get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can't fairly comment. Based on the comments I'm reading, don't waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I'm not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism.","Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don’t know what really happened, but I know Adnan is a liar or at least he’s a half liar with an awful spotty memory. 
Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. 
I couldn’t get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can’t fairly comment. Based on the comments I’m reading, don’t waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I’m not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism."
34,Fhknvcfgbjjb,20221120T220457,2,Gave Extra Star For Season 1,The first season of serial was truly a transcendent high art experience. To this day I encourage people to listen and I enjoy thinking back on the case (I am firmly in the guilty camp). I was really disappointed when I tried out this season and immediately discovered it was about fringe COVID vax conspiracists. Highlighting COVID kooks is just such poor taste right now. After everything we've gone through we ought to be going out of our way to be gracious to people for being crazy during that period. Lord knows the self appointed vax police were just as cringeworthy. I'll give you guys one more shot to pick a great topic but after that I'm out. S-Town was fantastic btw.,The first season of serial was truly a transcendent high art experience. To this day I encourage people to listen and I enjoy thinking back on the case (I am firmly in the guilty camp). I was really disappointed when I tried out this season and immediately discovered it was about fringe COVID vax conspiracists. Highlighting COVID kooks is just such poor taste right now. After everything we’ve gone through we ought to be going out of our way to be gracious to people for being crazy during that period. Lord knows the self appointed vax police were just as cringeworthy. I’ll give you guys one more shot to pick a great topic but after that I’m out. S-Town was fantastic btw.
49,dre89906,20221028T192307,1,Season Three,"Listened to Season One a few years ago and thought maybe I'd enjoy Season Three, I was very wrong. What was originally a true crime podcast has turned into leftist propaganda aimed at trashing the police. She claims to be so amazing for getting the opinion of someone who calls himself a conservative and then she doesn't even air what he said and calls him a racist more than once. Journalism is about providing the facts and letting the audience make up their own opinions, not providing your own opinions and telling the audience what to think. How disappointing.","Listened to Season One a few years ago and thought maybe I’d enjoy Season Three, I was very wrong. What was originally a true crime podcast has turned into leftist propaganda aimed at trashing the police. She claims to be so amazing for getting the opinion of someone who calls himself a conservative and then she doesn’t even air what he said and calls him a racist more than once. Journalism is about providing the facts and letting the audience make up their own opinions, not providing your own opinions and telling the audience what to think. How disappointing."
52,Surf4evah,20221021T042106,5,"Time To Take A Bow, Ladies","You need to do an Adnan episode where you squarely acknowledge that you two were the but-for cause of Adnan being freed, and celebrate it. You might feel embarrassed about it, but actually I think it'd be the gracious thing to do, rather than have people think you're sitting there in smug silence knowing that it's true, but not celebrating it. You guys are like the Christopher Lambert of this case, only in reverse!","You need to do an Adnan episode where you squarely acknowledge that you two were the but-for cause of Adnan being freed, and celebrate it. You might feel embarrassed about it, but actually I think it’d be the gracious thing to do, rather than have people think you’re sitting there in smug silence knowing that it’s true, but not celebrating it. You guys are like the Christopher Lambert of this case, only in reverse!"
58,Hotel Kilo,20221019T180719,1,Lack Of Investigative Journalism,"I was truly impressed with the first couple of seasons of serial! Sarah did a great job diving into and researching those cases. However, these last few episodes ""We were three"" lost all credibility when it reported about Covid and the treatments for Covid and the comments made about those drug treatments. Yet, the reporter didn't state a single fact, didn't reference a single study done regarding these treatments, didn't reference any studies done on vaccines, or anything medical findings in relation to proof of statement they were making about Covid treatments! It's sad to see the New York Times is still stuck on one side and not able to look at all the evidence before reporting on important subjects like Covid. I have a book I can refer you to if you'd like that is full of pages and pages and pages of numbers, studies, that prove your podcast had many inaccuracies! I truly hope Serial gets back to doing what it does best which is reporting and telling stories about those wrongfully convicted and explaining these mysterious criminal cases!","I was truly impressed with the first couple of seasons of serial! Sarah did a great job diving into and researching those cases. However, these last few episodes “We were three” lost all credibility when it reported about Covid and the treatments for Covid and the comments made about those drug treatments. Yet, the reporter didn’t state a single fact, didn’t reference a single study done regarding these treatments, didn’t reference any studies done on vaccines, or anything medical findings in relation to proof of statement they were making about Covid treatments! It’s sad to see the New York Times is still stuck on one side and not able to look at all the evidence before reporting on important subjects like Covid. I have a book I can refer you to if you’d like that is full of pages and pages and pages of numbers, studies, that prove your podcast had many inaccuracies! I truly hope Serial gets back to doing what it does best which is reporting and telling stories about those wrongfully convicted and explaining these mysterious criminal cases!"
65,IveHadBetterWSJ,20221017T183735,2,Quality Dropping Off,"I've listened to all of Serial's series. While the storytelling is as good as ever, the quality of the stories they present has really dropped off. The ""Trojan Horse Affair"" felt like a very long winded way to say ""We didn't really find any smoking guns, but we think some people might be racist"". Is there supposed to be a point to ""We Were Three"" beyond a human interest story?","I’ve listened to all of Serial’s series. While the storytelling is as good as ever, the quality of the stories they present has really dropped off. The “Trojan Horse Affair” felt like a very long winded way to say “We didn’t really find any smoking guns, but we think some people might be racist”. Is there supposed to be a point to “We Were Three” beyond a human interest story?"
69,JenieRenee,20221016T173046,1,Heartbreaking All The Way Around!,"Media and Leadership are responsible for pinning this family apart just as they did with the entire world. Unvaccinated were punished even called racist and some forced to take it to only be left with long term side side effects and even deaths. Only to find out the vaccine was never tested for transmission. In other words stopping you from giving Covid to others! So what the authorities told us about stopping the spread with a jab, was a lie. So many responsible from Crimes against Humanity. There is a huge story for you!","Media and Leadership are responsible for pinning this family apart just as they did with the entire world. Unvaccinated were punished even called racist and some forced to take it to only be left with long term side side effects and even deaths. Only to find out the vaccine was never tested for transmission. In other words stopping you from giving Covid to others!! So what the authorities told us about stopping the spread with a jab, was a lie. So many responsible from Crimes against Humanity. There is a huge story for you!"
143,alsjfktkebjgbt,20220920T145320,2,"Went Woke, Got Broke.","Fantastic first season - basically began the entire generation of true crime investigative podcasts. Then went down the typical ""everybody is racist, no one is culpable for anything they do because of racism"". In a time when there are literal Muslim grooming gangs operating in the UK (a story they wouldn't dare touch), they choose to focus on woke garbage. This is what is to be expected by any product put out by PRI (Propaganda Radio International).","Fantastic first season - basically began the entire generation of true crime investigative podcasts. Then went down the typical “everybody is racist, no one is culpable for anything they do because of racism”. In a time when there are literal Muslim grooming gangs operating in the UK (a story they wouldn’t dare touch), they choose to focus on woke garbage. This is what is to be expected by any product put out by PRI (Propaganda Radio International)."
