rating,title,content
2,Me me me,"I heard Jamilia on another podcast and liked her, so was stoked to find she had her own show. By show three I was tired of her voice. She has so many interesting people on but she always ends up talking about herself and her own feelings. I also got bored of the constant mental health talk, like it’s the most interesting thing about the guests she chats to. They have achieved some incredible things but they always end up saying the generic mental health quotes."
1,Let your guest speak.,Please let you guest speak.  I listen less now as I find the host wants to share her knowledge which reduces the opportunity for the guest to talk.
5,Clementine Ford,"Absolutely fascinating, could have listened all day. Wish this episode had been longer, I think there are loads of other topics you could have Clementine come back to discuss! Thanks for a great episode"
5,The best podcast,"I have listened to every episode of I Weigh. Jameela discusses topics, issues and questions that most of us face in this modern world and normalises the madness we live in to bring us together, make us laugh and not feel so ashamed or alone. Thank you Jameela for being you and sharing your beautiful mind with us xxxxx"
5,Brilliant,"I’ve genuinely enjoyed so many of the episodes and seriously tip my hat to Jameela for her openness, eloquence, frankness, energy. I have also recently lost my parents and several other losses have given rise to grief - the episode about grief with Megan Devine is the most refreshing take on grief that I’ve yet to hear. It resonates."
5,Particularly excellent episode about grief,The episode about grief with Megan Devine was so good. Such an important skill to know and experience to understand
1,Great guests but does let them speak!,Listened because I love the Instagram and heard about the Katherine Ryan interview - disappointed that it was more Jameela interviewing herself and less time listening to Katherine’s interesting story and words. Had to work hard to finish the episode.
5,I love Jameela Jamil,Just listening to Jameela and Atsuko Okatsuka and I’m in for the how to make adult friends reality show! Jameela I love your Britishness amongst the US culture. I’m Celtic Australian and I feel seen by you.
5,Social Understanding on Hard Mode,"I cannot believe just how much I’ve learnt through this podcast… raw, confronting at times, but in all inspires people to see the world through the eyes of others who are vilified, extremely misunderstood, or harshly discriminated against, as well as celebrates people being human.
I love the fact that the conversation revolves around shame and how that dictates every day life, and this beautiful ongoing discussion embodies healing and recognition in the way of acknowledging the sum of our parts without the superficial aesthetic pursuit.
Thank you Jameela."
5,Amazing.,Thank you Jameela.
5,Excellent,"This podcast so excellent, I don’t even have the words to describe how excellent it is.
It’s had such a positive impact on my mental health and self worth and I’m learning so much! 
Thank you Jameela"
5,The best.,My all time favourite podcast. I appreciate the insights and learnings each week and everything this podcast stands for. Thank you!
5,Jameela is at the vanguard of the zeitgeist today,"Rarely there emerges a voice that brings  challenge, representation and relief. One word: resonant."
3,Let your guests speak! 😂,"I do like this podcast and revisit it sporadically, however it makes me so uncomfortable when Jameela asks her guests questions and more often than not, completely hijacks their answers, guesses what they’re going to say or just starts telling a story about her own experience and never lets them finish before moving on to the next question. There are some really interesting guests on here but it always sounds like Jameela is constantly trying to prove how much she knows instead of letting the guest speak. Pleaseeee stop interrupting your guests and let them finish a sentence! 😓😓"
5,❤️,Thank you Jameela & team for this delightful podcast.
5,LOVE LOVE LOVE✨✨🤘🏽,You are beyond amazing. Going through and re-listening to them now. Thank you for everything you do.
5,Hilarious and informative,"Jameela is the bestie you wish you had growing up.  I love how open, honest and raw each interview is.  Definitely one of my fav’s!"
3,Silence can be golden,I really want to love this podcast. The guests are tops. The information shared is helpful and interesting. But I really need the host to let her guests speak. The occasional personal anecdote is fine but let your guests respond.
5,New favourite,I initially reached for the interviews with names I recognised but then I got hooked and now I’m addicted to every single episode.
5,I'm obsessed!,"This podcast is life-changing! It's giving me my voice back, and slowly dissipating my self loathing... Thank you!"
3,Great Podcast,Absolutely love everything you stand for! And love your guests but can you please let the guests speak more. Too often they give a quick answer and then you go back to talking about yourself. I love you and love hearing from you but want to hear the guests speak more
5,Love this podcast,"Jameela is so thoughtful and curious during these interviews. I’ve loved all of them so far.

Also just wanted to say... you can be on ADHD medication and antidepressants at the same time 👍"
3,Let guests speak more,"I was looking forward to the Margaret Cho episode but I barely heard Margaret talk, it was all the host!! Very disappointing. Please talk less about yourself and let your amazing guests really talk/elaborate - not just give a short answer and have you take over."
5,Breath of fresh air,"I’m so grateful to have discovered this Podcast. Thank you Jameela for the honest conversations, for making me think and reflect and for introducing me to so many interesting people."
5,Fabulous listening,"Really appreciate your podcasts helpful healing interesting love & thanks from Australia
Amanda xx"
5,Love this but please ask yr guest more...,"This is a wonderful podcast, and Jameela Jamil has a lot to say that I want to hear. Here’s the BUT: sometimes too much interviewing herself and not hearing enough from the guest. I DO want to hear her too...but not at the expense of really hearing from the guest."
5,6 stars out of 5.,"Everything about ‘I weigh’ is revolutionary. Not only does this podcast (and the absolutely inspiring Jameela Jamil) educate myself and people around me, but it too holds my actions to account and supports me to be the best me I can possible be. Tongue twister right there. If I can say one thing, listen."
5,Love this podcast,Love listening to this podcast while working from home. Thank you!
5,Thank you so much!,"Thank you, thank you for the episode with Caitlin Moran. Weirdly enough, I’d just bought her book 2 days ago (but haven’t yet started it) without realising the component about having a child with an ED. My daughter has been battling anorexia for almost 2 years (that we know of) and longer before we knew. As her mother, I’ve done so many of the wrong things you describe. This was so good to hear. You may also be interested to know of another book I just listened to - Your Own Kind of Girl by Clare Bowditch. She also suffered with ED and had a break down. And it has a happy ending!"
3,Brilliant,I think she just needs to listen to her interviewees a little more. She talked over Gloria Steinem a lot.
5,Favourite pod THANK YOU,"I am SO glad this podcast, this movement, this wonderful community exist! i_weigh has gotten me personally through really difficult times in my life, really helped shift my own internalised stigma (for myself, not others) against mental health and the associated shame I have with myself, and opened my mind so many marginalised communities. It is honest, real, fun, sad, and so so important. This podcast, I think, is truly monumental in destroying the patriarchy, fat-phobic-ness, racism, homophobia….all the negative aspects of human kind. Thank you, thank you, THANK YOU…this has truly done so much for so many, including helped bring me back from the brink <3 xoxoxox"
5,Great podcast,Very interesting podcast
5,Refreshing real conversation,that is not just a promotional opportunity. The conversations are engaging and hearing these stories help with understanding or consideration of other views.
5,The best,"I really love this podcast. It’s refreshing, unfiltered and also just real. Talking about the elephant in the room (or what was) and spreading good messages.
Thank you."
5,Reminder,"This podcast is an excellent reminder of what is good, what is important, and what needs attention. Jameela is an excellent host who’s empathy and compassion is audible, who is willing to bear all with your community, and fights for education and understanding. I couldn’t recommend a better listen."
5,I weigh is a ripper.,Absolutely adore Jameela and the guests!! Such  needed conversations about so many stigmatised issues with opened minded and progressive people.. I live for this + bang on about it to ALL my friends!
5,Very insightful,Love these chats - helping me educate myself on very important topics
5,Essential listening,"This podcast has helped me already so much with such honest and insightful conversations, as well as being highly entertaining. Jameela Jamil is a natural and the guests are all amazing. Thank you x"
5,New favourite podcast,"Jameela Jamil is such an interesting, funny host and the guests she gets on the podcast are equally interesting. There’s so much good stuff! A really uplifting listen 😀😀."
5,Thank you! Thank you! Thank you!!,Wow! How eye opening and raw! You are blowing my mind with so many reality hits and slaps to the face (in a good way haha). I feel incredibly grounded after every episode. But also incredibly overwhelmed with emotion. I’m learning a lot about myself and how to be a better person to myself and others. Thank you so much 🥰
5,Wow!,"This podcast is the best! I hang out for new episodes every week. It is so raw, honest but also so funny and charming. I love it :) thank you!"
5,Best podcast to date.,Highlight of my week. Witty yet hard hitting. I’m listening from Australia and I’m so very thankful for this podcast right now. Grateful for relatable non judgmental and open content. This podcast is helping de stigmatise a range of topics and I’m here for it. Your a queen Jameela 🙏🏼
5,my new favourite podcast ❤️,"Hi Jameela!

I just wanted to give you and the amazing people that make this podcast a reality a big THANK YOU!! 

I love your discussions with your guests, and I especially love how you talk so freely and expressively about what is right. I have learned so much in a single hour than I would in a week. I have realised that I have been seeing my self worth to be just a number or the way people may look at me - but you proved it wrong again and again. You are truly my inspiration 💓

If I could give a thousand stars, I would."
5,LOVE,Fantastic podcast!
5,Thank you!,Love the podcast!
5,Love love love,"Love this. Love everything Jameela does. Please continue to spread your message of acceptance, tolerance, empowerment and celebration of diversity."
5,Thank you!,I love this podcast so much. I love your candid interviews with people who come from diverse and varied backgrounds. Your interviewing techniques are light yet in depth and interesting. Please keep making this podcast. Thank you Jameela and your team.
5,This Podcast makes me want to change the World!,"Two episodes in and I am OBSESSED. Open, honest, funny and full of inspiration and some keen insights into the world we live in - this podcast gets you in the feels in a big way.
I can’t recommend enough!"
5,Love it,Love it- positive but down to earth and validating of the real experiences of different people <3
5,LOVE THIS!,Can’t wait for more! So good
5,Great chat,"Brilliant chat! As a gay man who has struggled with body image and dysmorphia this was a really awesome chat that I was able to empathise with. 

I suspect the world needs these insightful and amazing chats in the current COVID-19 climate!"
5,THANK YOU.,THANK YOU. THANK YOU. THANK YOU. THANK YOU. THANK YOU. THANK YOU.
5,Absolutely adore this!,"Jameela you are a revolution - thank you for being you and for inspiring these awesome conversations to happen. I feel so seen right now. Amazing first guest, I LOVE The Bean. Xx"
5,love this!,love this and can’t wait for the next episodes!!!
5,"Seriously witty, majorly worth a listen!","I love listening to serious topics about serious issues, wrapped in comedy with a side order of emotional punch... these “I weigh” discussions happen to touch my heart in ways I didn’t even think I needed. I’m in feminism training and I believe breaking down the construct of societal expectations on women is vitally important...  But most of all I just Love listening to the beautifully lilting & fast witted Pommy accent of Jameela Jamil!"
5,I’ve learnt so much!,"I LOVE this podcast. I’ve learnt about so many different topics I have honestly never thought about. It’s helping me become a more open person, has helped me accept myself and just massively broadened my horizon."
1,ugh,This woman has really capitalised on the current social climate and good for her I guess….but my goodness what a narcissist!!! She’s a complete hypocrite IMHO when it comes to all the body positivity stuff - claiming to be opposed to the commodification of women’s bodies while simultaneously constantly posting heavily edited photos of herself dressed up like some kind of pick me princess... good luck to this incredible grifter 🐝🐝🐝🐝🐝
5,Episode 10 with ALOK ✨,"Episode 10 with ALOK was the best podcast episode I’ve ever heard! The LGBTQ+ community was always something I knew about and supported. Listening to this episode made me realize how little I knew about it and is making me realize how little I’m doing for the community! I can’t wait to buy the book and I’m looking into helping my local LGBTQ+ organizations during this pandemic (and hopefully after too). Thank you so much Jameela for creating this podcast and shedding light on topics and incredible people that deserve more attention, help and support! I love all of the guests and you have really awesome questions :)"
5,Love it!!,"Amazing podcast, I have learned and grown so much by listenig to this powerful podcast."
5,Love it !!,"This is such a motivating podcast! 
Love to listen to it while working ❤️
Merci for the laughs and tears!"
