review_id,rating,title,content,date,developer_response,user_name
8876775526,5,Just the best!,I could listen to you all day. Actually I have listened to you all day! Love your work!,2022-07-15 07:48:55-07:00,,pouladf
8186259951,5,Great Spin,Love you’re version of spin on the subject. Keep them honest - Princess Andrew next,2021-12-30 15:10:12-07:00,,OZVON
8070733556,1,Angry guy,"If you want to hear a guy with no skin in the game rant for half an hour, then this is for you. He just reads articles and talks about his life. Boring!",2021-11-27 16:29:23-07:00,,Myrtle McIntyre
9825856545,5,I LOVE BOBBY!!!,"I’ve been listening to Bobby every single day since he started the Podcast and I wouldn’t miss it! I love his passion and dedication to unmasking the evil-doers in this world and holding them accountable for their deeds. His epic rants are utterly brilliant and I find myself cheering for him. Keep up the incredible work, Bobby. Sending lots of love from your listener in England ❤️ xx",2023-04-15 13:58:30-07:00,,Mrs Colbert the 2nd
8464703078,5,Interview with Maria Farmer - ESSENTIAL listening,"I love this podcast because it provides a synopsis of SOME of the news…….Bobby however digs deeper and gives a broader view on what should be dominating headlines everyday. There is so much more to this story and in the episode with Maria she details from a first hand account just how Epstein, Maxwell & everyone else are connected. I found it to be deeply disturbing and cannot comprehend how the others appear to not be spotlighted. I do hope that there are more interviews.",2022-03-17 03:36:47-07:00,,David Rhys
8217980172,5,TRUTH HURTS THE GUILTY!!,"I’m a 70 year old British lady pensioner, and I’ve been following you from the very beginning, thank you for no nonsense truth, very brave man and like you, I’m now a Political Refugee after knowing what a COWARDLY, CORRUPT, GREEDY, world we live in, Thank you Bobbi for sticking at it. TRUTH!!",2022-01-08 06:04:21-07:00,,Bootfaced
8206477433,1,Another…..,"Podcast host screaming down a microphone in his mum’s basement.

Poorly edited poor sound quality and someone desperate to be taken seriously",2022-01-05 02:31:28-07:00,,peanutseller
8186107492,1,Yawn,"This presenter says “I” a lot but the content is poor and insubstantial, like listening to opinions of a bore in a bar.",2021-12-30 14:04:28-07:00,,Meiisma
8185199863,2,Jumped the shark,"Think the message here is overall positive, that said. …

Latest episode , CIA, Black Ops, MOSSAD,  shadow organisations blah de blah. Straight out of the conspiracy theory text book. Report on the facts from the trial and what you know and the narrative being the industrial scale abuse . 

Clearly a Trump voter…",2021-12-30 08:13:56-07:00,,mugwomp90
8184695777,2,dangerously obsessed and filled with hatred,"I listened to a couple of these shows and was struck by his sheer hatred for ghislane maxwell and the rest of these characters in this grisly tale which unfortunately overshadowed the actual genuine facts , we all want to see justice served on these people but this podcaster seems to have a personal vendetta  against them and personally I’d be worried about his mental health with this dangerous obsession. Take a long holiday dude get some r&r , do something different for a while before your hatred destroys you and your relationships .",2021-12-30 05:30:39-07:00,,Alfreska
8146512683,5,Thank you ….,…. For being the voice of the survivors. You’re such a committed hero to this cause. I salute you and thank you for your passion,2021-12-19 04:10:55-07:00,,New to all this 'stuff'
8108348061,1,More facts less opinion please,I wish the host would provide and concentrate more on the facts and less of his own opinions. He’s supposed to be reporting on a court case after all,2021-12-08 07:02:54-07:00,,-lebowski-
8090618684,1,Poor,I love podcasts but if you want to hear one done badly try this - you will only need 60 seconds to see what I mean.,2021-12-03 06:54:52-07:00,,ChrisParsonsLondon
8076502884,1,Awful,"What a vile individual just one big rant on how much he personally hates Ghislane Maxwell.  I believe that a person is innocent until proven guilty, this is just an angry man venting, totally pointless drivel.",2021-11-29 06:56:57-07:00,,BorgBonBon
8035481955,1,Vile person to listen to.,"I believed in, “innocent until proven guilty”. It’s a basic human right!",2021-11-17 19:14:48-07:00,,Timelord666
