comment	replies
The reaction to “gumption” 5 min has me dying	[]
Women have always worked just as much (if not more) than men and girlboss is just another way to gaslight women into thinking doing more is exciting and joyous and something that will make them stand out and not at all more for your already overfilled plate	[]
If women allowed men to be househusbands without cheating on them and if they allowed men to work with children this wouldn’t be a problem. Another thing that is open to debate is that women want to spend more time with her children.	[]
"The issue with it is when ""girlboss"" is synonymous with feminism. It's not feminist to subvert other women for your benefit"	[]
Thought-provoking 💭	[]
Sincerely girl boss isnt for everyone that dont mean women who want to be girl bosses shouldn't aspire to be one	[]
God I hate Devil Wears Prada. I get that girlboss is a problem but it felt like the film framed it as - men be right tho women need to be women	[]
omg you are here, I love it.	[]
"The thing about having it all. Is it's hard to keep it all.

My mom worked 3 different careers as my father worked construction and steel work. As she worked as a nurse and security guard while being a mom.

The truth was as my parents aged they worked hard to make sure to be there with with family as much as their work. Now that their older they worry they didn't do as much with us.

And now that my mom has stopped working she revels in having free time"	[]
"Great to find this. Been binging Lindsay Ellis's videos lately, and she keeps referring back, in recent videos, to this idea of the ""girlboss"" but here I can actually see her address the topic head on."	[]
Life’s hard, then you die.	[]
Women are less willing to sacrifice personal life and more prone to whining, that's why they get fewer promotions. Deal with it, ladies.	[]
Kind of off topic but how did I never realize  Miranda Priestlys' husband is Nate Archibalds grandfather?	[]
Was it me or Andy NEVER wanted to pursue a career in fashion journalism at all, even with the time she spent with Miranda?	[]
"i think ""girlboss"" feminism is more respectable than making videos about disney movies and e-begging lol"	[]
You're much kinder in the #girlboss criticism than most I've seen. I guess the problem is how they self promote as feminist ideals.	[]
This is such a great video-- literally took the words right out of my mouth. THANK YOU!	[]
The truth is, my felőlem bosses was all horrible, especially in communication.	[]
Correct... I need to be the charismatic stern and power man male figure AND the kind giggly sweet woman figure. I recently had someone tell me I should try smiling with my eyes to come across more friendly :)	[]
So eloquent	[]
"I really do not like the 'Sis"" gendered term"	[]
I WANT a family. I’m getting it. I want kids, a husband; I am ready to submit and be submitted to. I spent years being too afraid to go for it because I was convinced I would be a loser if I didn’t subscribe to a noticeable degree to the “hustler”/“gurlboss” lifestyle. I’m done. I can work AND have a family. I fell for it; I spent years hiding from my true dreams. I was deceived. I couldn’t figure out why I was sooo unhappy. I’m so glad I got over my socially induced psychosis!	[]
i love what you said about Molly on insecure	[]
Why should somebody pay you to take care of YOUR children and to clean YOUR mess?	[]
I hate even hearing the word “girlboss” but I’ll listen to Lindsay explain basically anything	[]
Lmao imagine living in a country where child care isn't an equal responsibility between parents. Whack	[]
I knew I loved Living Single for a reason. I have such a new perspective on the show after watching this. Thank you!	[]
I’d rather be seen as the bitchy boss and man eater than being pinned down & oppressed by a misogynistic husband strangled with two kids. Honestly, I don’t think working women are bitchy, nor stay at home mothers are unhappy. But, if these were the only two choices (as most media claims) I know which I’d rather have.	[]
5:45 EXACTLY I'LL TATTOO THIS ON MY FOREHEAD	[]
Do you notice that basically all negative behaviour towards women comes from another women, and the men that think they have to comply...	[]
Also I find the term sexist not empowering... It should just be boss? 🤔	[]
"If you type this or ""entrepreneur"" into Instagram I literally promise you it's just selfies"	['Or MLM product pitches or booty picks that have weirdly prose captions for no reason.']
"Funnily enough, Anne Hathaway later starred in a film with the exact opposite message of The Devil Wears Prada - The Intern. She plays the head of a fashion company who's considering hiring a CEO to give herself less work - because her husband is the stay at home dad who's having an affair. But the end message is that the husband needs to work on his insecurities, which he does by ending the affair, confessing everything and assuring her to stay in control of her company. And she's portrayed as a nice boss as well, although her assistant is a bit overworked.


And there's a positive example from friggin 1942 in Now Voyager. An heiress chooses not to get married or pursue the man she loves because she wants to use her family's money to help the mental health system, based off her own experiences getting over a nervous breakdown."	[]
Love the use of diverse TV shows !!!!	[]
nice	[]
Such a well thought out video. Thank you for making this and thank you for referencing Insecure and Living Single.	[]
This was a good video. It was very encouraging. Thanks for including all kinds of women! Including those like me who are moms.	[]
Really sick of hustle culture. I feel like a failure all the time no matter what I accomplish. Yes it’s problematic that there are sexist aspects of wanting women to largely be mothers, but some of us Millenial women are starting to resent the pressure to BE a girl boss! Yes I enjoy my victories but I hate that it’s a constant uphill struggle to attain some nonexistent ideal. I find myself unsexed and enjoying power more than sex, and feeling disdain for everything maternal! I wish you’d covered this problem, Lindsay. Well done video overall.	[]
Lets be honest here. How many of  relation actually have father in equation anymore? Divorce and single parenthood are the mores.  Marriage or even men seem to be secondary thought now days. Secondly was it not how men were portrayed as boss men (for decades in cinema) who took their wives for granted and focused on career. And hence wives fell into arms of their new love .  What is good for goose is good for gander. This is conundrum of feminism. It was built on anti marriage foundation (if we actually take time to read about its history) and yet could not obliterate evolutionary rules which is propagation of species which fueled the whole patriarchal structure meant to protect the children.  Someday it will be interesting to get feminist view on poor male character writings in Hollywood	[]
You still don't get it, do you ? Even if you put all women in the positions of CEOs and top managers , that is not going to make you happier, because then you will be complaining that there are not enough eligible men to marry and have a family with. Women who are happiest are the ones that are being taken care of financially by their men, who embrace their femininity and make an effort to be good mothers ( that involves caring for your own children ,not paying some stranger to do it).	['not all people capable of giving birth want children. success looks different to everyone.']
The biggest issue with female bosses is that they don’t realize they have been pushed into management whether or not they are qualified. In the span of 10 years female managers at a company I’m familiar with went up 5 fold. All of them had the ‘credentials’ - college, years on the job, etc. but not had the personality it takes. To compensate, they acted like ‘B’s’. I think for the good of both bosses and employees, it would be better to acknowledge that this may be a several generation’s correction.	[]
"I like that she brought up that it's not always helpful to frame the ""girlboss"" narrative as women should be just like their male counterparts. While I'm all for assertive, take-no-prisoner, badass ladies, so much of American (traditionally masculine) workplace culture isn't empowered, it's just straight-up toxic and abusive. I want to see women succeed, but I hate seeing people promote the idea that being cut-throat, exploitative, and selfish are good ""boss"" practices. You're not a #girlboss if you support unfair labor practices, throw fellow employees under the bus, or insist people sacrifice their well-being like you did to get ahead - you're just another powerful asshole."	[]
Jon Hamm is just tall	[]
I didn’t realize Glenn Close almost always plays this type of character.  Especially if you include Dangerous Liaisons	['And Damages.']
i like how she gave the idea that we should towards a future where we can get to the top by building each other up rather than bringing other people down.	[]
I adore Lindsay Ellis!!	[]
Lol “women”....just look at your moms. Take the good and leave the bad. My mother was a bad mother. And it was just her nature. She never could be the mom I wanted her to be. But what works for someone doesn’t work for the other. Individual power and just plain believing in yourself. Lol	[]
"Great video.  And all the social problems with trying to reach the top of a company... are the reason more brilliant women should try to open their own shops.  Do we really want to waste decades (of the only life we know we'll get... for those of you who don't believe in reincarnation) on proving the feminists are ""right"" because men/society are mean to us?  Fuck it, I say.  If you're going to bust your ass to get to the top, it's better to play by your own rules.  Chances are, you're more likely to win that game.  And I know some people might be thinking that not every woman has the means to open her own shop.  But the truth is that it's not about overnight success.  Nothing good ever truly is.  In this life, I don't want to compare myself with where a man at my age is.  I am my own person, with my own timeline and my own story (and money)."	[]
What? Higher standards for women? Noooooo, that nEveR happens	[]
Great analysis but the blanket assumptions about women of colour is quite damaging. Especially since “of colour” refers to people coming from non-European cultures aka the rest of the world. Generalisation of people from the rest of the world inadvertently others them. Colour is a spectrum and you can’t say that they as a rule have it harder. If you can’t be more specific, then you probably shouldn’t comment on them.	[]
Wtf is in the pot at 2:51????	[]
Peggy was encouraging and helpful to any woman who showed interest in moving up. There just werent many who were.	[]
#havingitall = #doingitall	[]
I literally had a rage over this with my mum the other week....huuumph	[]
"I've only started been talked to for a future management position at my current job. My current job is currently staffed by women. Every other job has over looked me because they say things like ""well yes your qualified but dont you want to focus on finding a husband? "" yes this is something that was said to me not by my manager but by A supervisor of another area when I complained I couldn't get ahead"	[]
There's something I have to speak about from my childhood experience : yes, the husband is the breadwinner. It's ideal to work 9-to-5, monday to friday, to build business, but it's not the reality. The reality is that my father work 11-12 hours a day, monday-saturday, 2-3 times/month business travelling. So, I can say that he's pretty much absent during my childhood. When he was older and really settle down, I'm already attending college, so I really never know him much.	[]
"Men who work in higher position (many just inherit and its more genetic lottery and grooming) sacrifice everything to get there -social life, family, friends, health, and free time to get there.
Women that work over 50 hours a week is under 15%
To get to the top is giving up alot of emotional needs.   For the people that want the brass ring there is no Netflix and chill, Sunday brunches, or sabbaticals.

Its hard work with sacrifice"	[]
