comment	replies
Love it	['Happy to hear this :)']
Simply divine ♥️	['👍', '@@lewishowes I’d love to meet her. Can you help me? 🙏🏻']
Soooo underrated..... Lewis, call her again, please @____________________@	[]
Her proudest moment is when she bought Nissan 😂	[]
Ya I agree about the chemistry between these two. It is effortless! They seem to not even realise lol. Sophia is great I love her chill	[]
Making your pitch through others is a good advice. Thanks for that. She is so cool. She didn’t come prepared for an interview and gave her story and a few advice. It’s great 👍 Thanks for sharing how both of your grades were, I struggled too. It feels good because every one is telling me how a masters degree will help you more than knowledge. I am an asian and in the market here it adds to getting promotion and a good reputation. It’s hard to convince elders that degrees don’t run your life.	[]
how are yo doing ? good .	[]
HER SKIN IS FLAWLESS .	[]
Turn damage into a strength 💥✨⚡️	[]
♥️Sophia! Girlboss Foundation! ♥️	[]
Thank you so much! As a huge fan of #GIRLBOSS the book and show it was wonderful to get to know Sophia and hear more of her story. She is such an inspiration on so many levels and you really helped her share her life, philosophy and her inspirations with us. I enjoyed every second and I never watch videos longer than a few minutes, LOL.	[]
I really like her strong personality and how she sticks to her authenticity no matter what.	[]
She has a very inspiring story	[]
thank you for this great interview!	[]
Love her!	[]
AWESOMEEEEEE INTERVIEW!!!!	[]
"Your story is so empowering, I literally get a lil info and then I get to working on my music!!! 
I love you, thank you so much!
Hope you can listen to my music <3 https://soundcloud.com/linapastel"	[]
Lewis giving her heart eyes lol	[]
Love this and her! thank you for this interview!! :)	[]
This is one of the main reasons why I really respect, admire and trust Lewis Howes; he is extremely transparent.  Who else would admit to not being able to read until 16, and that he cheated on all his exams?	[]
Love That Girl!!... I so can I identify with Sophia's story... Im pretty sure we a related somehow. lol  I first learned of Nasty Gal from Success Magazine.  Very Cool Story	[]
Great job with all your videos!! I love your content and what you've got going here	[]
What is she doing now? I heard Nasty Gal filed for chapter 11 in Nov 2016, but got bought out is she still designing for them?	[]
My goal in life is to be as calm and collected as this woman. Wow	['Watch the Netflix show on her 😂']
Love her and the book!	[]
"""I don't really talk about being a girl that much in it."" It's in the title..."	['Mary N *IN* is an abbreviation for *inside*']
I'm just watching this now and am so interested to see what she is going to do in the next year or two after all the disintegration of Nasty Gal and the show Girlboss only running one season.  I know that she has something next-level within her and I'll definitely be watching to see what happens.  Great interview btw.	[]
Great interview. Girl Boss is a fabulous show...disappointed there won't be a season 2. I can totally relate having been a street vendor in Montreal in the early 90's. I just love her fierce attitude and kind heart. TKS Lewis. 🙆	[]
Lewis Howels are you dyslexic? I am	[]
amazing	[]
Amazing video i learnt a lot ☺️	[]
START at 45:00.	['Hahahaha thank you']
Wow, she's really pretty	[]
amazing inspiration	[]
She seems so annoyed at him in the end 😅	[]
i miss the show	[]
She is gorgeous, smart and inspiring ❤️ loved The interview	[]
I need to get her book and yours too! Need to check if it's in my country , Philippines!	[]
Bloody iconic that's what she is	[]
Love this women! Always stay honest and real x	[]
You interviewed with all my fav! :) #Girlboss  Nice interview!	[]
Wow-awesome-thanks to all involved:)	[]
Wow it's amazing how she is like me in so many ways, the similarities are almost scary...	[]
What a great interview!	[]
After reading and watching GirlBoss, I started looking for Sofia on YouTube because I was curious as to how really is in real life, and how much liberty Netflix had with her character/personality. She seems so much more mellow and low-key in her interviews than the TV show character XD	"['Yeah, I was not a fan of the show myself. It pandered to some millennial ideal of the go-getter that ALSO gives no fucks, to the extreme. It was annoying and unfamiliar to me, an original Nasty Gal customer so...', 'I agree though at times i have heard her say things during interviews that i could hear coming from the “tv sophia”... i do like the show though', 'She was 22 when she started her brand. She admits she was really rude and self-centered at that time. The show is one of my favorites personally.', 'Jeca Martinez Art same girl same', ""I have watched the whole series many, MANY times and I think if you put Sophia together with a more conservative Annie they were true to who she was. We are multifaceted so that was an interesting choice. I love the show. It's gotten me through some of the worst moments of my life. Girlboss forever.""]"
this talk deserves a way more views. good job and keep the good work up!	[]
