comment,replies,date,user_name
Love it,['Happy to hear this :)'],2022-05-18T05:12:07Z,@shanellamalcolm210
Simply divine ♥️,"['👍', '@@lewishowes I’d love to meet her. Can you help me? 🙏🏻']",2022-04-20T19:25:15Z,@jimmyjohntv4280
"Soooo underrated..... Lewis, call her again, please @____________________@",[],2021-09-23T22:30:06Z,@sabrinalimapereira2508
Her proudest moment is when she bought Nissan 😂,[],2021-07-20T10:43:13Z,@Lessismore786
Ya I agree about the chemistry between these two. It is effortless! They seem to not even realise lol. Sophia is great I love her chill,[],2020-03-10T07:51:05Z,@tshidiblaque9373
"Making your pitch through others is a good advice. Thanks for that. She is so cool. She didn’t come prepared for an interview and gave her story and a few advice. It’s great 👍 Thanks for sharing how both of your grades were, I struggled too. It feels good because every one is telling me how a masters degree will help you more than knowledge. I am an asian and in the market here it adds to getting promotion and a good reputation. It’s hard to convince elders that degrees don’t run your life.",[],2019-08-29T07:35:26Z,@irushakarki4406
how are yo doing ? good .,[],2019-08-15T09:27:55Z,@wisemano7043
HER SKIN IS FLAWLESS .,[],2019-02-12T07:55:48Z,@anastasiadetar6762
Turn damage into a strength 💥✨⚡️,[],2019-01-10T22:39:49Z,@prettymuchketo2967
♥️Sophia! Girlboss Foundation! ♥️,[],2019-01-10T22:37:37Z,@prettymuchketo2967
"Thank you so much! As a huge fan of #GIRLBOSS the book and show it was wonderful to get to know Sophia and hear more of her story. She is such an inspiration on so many levels and you really helped her share her life, philosophy and her inspirations with us. I enjoyed every second and I never watch videos longer than a few minutes, LOL.",[],2018-12-31T02:01:11Z,@suziethefoodie
I really like her strong personality and how she sticks to her authenticity no matter what.,[],2018-11-10T20:21:36Z,@brianagonzales7648
She has a very inspiring story,[],2018-10-13T00:36:49Z,@ericotto314
thank you for this great interview!,[],2018-03-27T08:10:51Z,@creagiovane3318
Love her!,[],2017-12-28T17:53:48Z,@xSweet_Px
AWESOMEEEEEE INTERVIEW!!!!,[],2017-12-16T02:56:29Z,@fairyslaymother6131
