comment,replies,date,user_name
I READ THIS BOOK WHEN I WAS STILL STUDYING MY MASTERS IN BUSINESS STUDIES BACK IN 2013 AT ATENEO DE ZAMBOANGA UNIVERSITY ZAMBOANGA CITY.,[],2021-12-17T20:38:59Z,@alexismarquez3674
Amazing review thanks sis you convince me to get a copy of a book.. God bless sis🥰🥰,[],2021-04-04T12:25:07Z,@liezelcalixtro1763
I haven't read the book but I have watched the series and it has become my favorite. I'm just sad that there wouldn't be a season 2 because they cancelled it,[],2020-07-23T16:37:32Z,@erikha.v
Lots of love to u Di.. Because ur speech and words r really become inspiration for me,[],2020-06-26T17:53:50Z,@naturereels3177
Great takeaways ❤❤❤,[],2020-06-04T05:47:08Z,@SimpLeeBeth
❤,[],2020-01-06T11:01:28Z,@AshniNisarShah
Thank for this video ✨,[],2019-09-15T06:36:16Z,@sonyav3
So bummed there was only one season of her show,[],2019-09-15T06:32:43Z,@sonyav3
your book review makes me want to read it 🤩,[],2019-08-03T19:03:51Z,@internetprincess8998
Great tips and I adore your hair.  Thanks for sharing.,[],2019-04-12T16:08:26Z,@sherryedwards695
Please  can you send me the book. Asin the e book. Please. So I can send my email,[],2018-12-13T10:12:57Z,@Letsgrowtv
loved it,[],2018-12-04T17:02:04Z,@poojajoshi9358
"I second that, gotta dress up for work 👌 my mum's advice",[],2018-10-20T18:20:22Z,@dominicdavistv
💕💕💕,[],2018-09-09T08:56:22Z,@mrs.durante4834
Love your review,[],2018-08-14T11:52:05Z,@naniyuliani1362
love ur vedios...all the very best and lots of love from india,[],2018-08-11T19:16:59Z,@artsmajor7502
Wow.. Love how you encouraged me and your other followers to read this book. Thanks sweet girl,[],2018-08-08T17:33:20Z,@wafaaali8278
I loved this book and I watched a really long interview with her and just the sheer hard work and absolute detail!!! ... absolute inspiration!!! ... another great video :) thanks x,[],2018-07-27T22:56:10Z,@DrBiohack
"Who are the characters in the story? Who is the central figure and who is the secondary, I will be happy to detail each character",[],2018-07-11T08:30:27Z,@shanifinkelstein1078
Love you video,[],2018-05-02T01:58:48Z,@sophiahamilton794
I loved that book!,[],2018-04-14T04:26:41Z,@rowanelessar5892
Love u lavendaire!!! U don't know how much u changed my mind! Thanks for that💖💖💖💖💖💖💖💖,[],2018-04-12T04:46:28Z,@pplattee
Estate sales are not just when old people die. My brother was 53 and was killed and we had a estate sale for his stuff. FYI!!,[],2018-03-13T03:44:39Z,@mssouthcentral2574
"Watching your old videos, I noticed that you were different, you looked very tired, your way of talking and face expressions were not as strong as now, you have this amazing aura, but I can't feel it in your old videos, but in your recent videos, you look more comfortable, more confident, your voice is clearer, and you face expressions are stronger, and that just inspires me alot, it's just one year, and you made such a huge change, you are amazing!💕",[],2018-03-09T17:45:00Z,@bangstan5208
they cancelled the show! I wish they changed the actress over cancelling the entire show! It truly inspired me! *SIGH~*,[],2018-01-14T19:14:59Z,@mspinkflipflops5681
Are you going to get the girlboss workbook?,[],2018-01-14T05:12:21Z,@Mixkayla24
I read there wont be a season 2 of GB bc she filed for bankruptcy. Bummer. I was inspired by the show too.,[],2017-10-31T19:55:05Z,@trailertrish
I loved this book. N her tenacity for success. Also what is that lip colour your wearing. Want!!,[],2017-09-12T05:49:00Z,@justherek4550
A lot of people hated this book and I have no idea why. Some people seriously have no sense of humor. I thought it was funny and inspiring.,[],2017-08-11T03:00:20Z,@theamethyst93
"My life changed after I read this book! Thanks god, I preferred to read the book than watch the tv. This book is a life change book. Everyone wants to become a #GIRLBOSS after this.",[],2017-08-02T23:55:58Z,@velasquezkarol
"if u hate reading book,the movie ""girl boss"" is on Netflix
nice video lavender😊",[],2017-07-19T03:16:29Z,@temi8996
another inspirational youtuber! 👍,[],2017-07-03T08:22:12Z,@prei6786
Looking forward to read this book :) thanks a lot for sharing such gr8 ideas ;) keep rocking as always!!!,[],2017-06-25T05:48:10Z,@gujadhurgeet8530
the netflix series is amazing to😍,"[""I loved the series I wish the would've tried for a season 2""]",2017-05-31T15:56:05Z,@littymade3531
Thanks for the helpful video,[],2017-05-28T11:59:53Z,@ajmaaaltantuya8716
Great video,['onli1luv -'],2017-05-26T04:08:16Z,@onli1luv
Your personality is so sweet :),[],2017-02-04T20:34:10Z,@carolinacastelan3094
"Hi, came around your channel and subscribed right away. I like your sweet, smart personality. I recently finished #Girlboss too and I loved the book. It totally motivated me, I am about to read ""You're a Badass"", hopefully it's just as good.",[],2017-01-10T15:45:10Z,@RhaizaRobles
love ur review ♡ new sub here,[],2016-12-26T16:47:03Z,@rachedecember5563
Thanks for the video!,[],2016-08-26T17:11:11Z,@simplykashh
"I find myself on your channel quiet a bit! and it's always in reference to a book! Which is so cool! I thought this time that I'd leave a comment and let you know how much i appreciate you sharing about big magic, and konmari method! I truly have enjoyed relating to you on many levels while learning about things I wasn't aware of!!! I'm also a big white pages and journal believer and that's how i initially found your channel! Thanks for all that you put into what you do! I subbed for sure! I love hearing an artist talk about self love and growth, as an artist/creative myself!",[':D awesome! thank you!'],2016-08-02T15:06:27Z,@UnbelievablyHuman
Yess so glad I found this video! Love this book and just started my own youtube channel which is all about being a girl boss and creating a career out of doing what you love. Check it out if you have time!,['love it!'],2016-08-01T22:01:32Z,@CallieandCo
Thanks Aileen!!,[],2016-07-23T17:20:16Z,@Cardblue
one of my all time fave books! i'm so glad other people appreciate it too :),[],2016-05-16T23:43:12Z,@madi846
"hm this might be a good inspirational book!! :) what I've found, in the dress for success, is I wear nice casual clothes ALL the time. Those are my ""casual"" clothes. Only when I'm at home will I dress in extra large t-shirts and stuff lol i'm new to your channel, and i'm enjoying myself so far!! keep at it",[],2016-05-14T04:00:42Z,@Amyjwashere
