comment,replies,date,user_name
sorry if some photos/ clips are kinda blurry adobe premiere doesn't like me :-( or maybe the software can't handle this much #girlboss in one project...,"['premiere hates to see a girlboss winning lol', ""It's not u. It's the #girlboss cracking and bugging  the software"", 'Glad you are back!', ""Pretty sure it's the 2nd."", 'Well done👏🏽👏🏽😆']",2021-05-19T19:14:23Z,@cruelworldhappymind
"Surprise, having women adopt the same toxic attributes of the worst male leaders is just as bad and doesn't nothing to promote actual equality in the workplace.
""Girlboss"" is just another term invented by corporate suits to virtue signal they are doing something to promote gender equality without actually addressing the toxic environment that corporate culture encourages.",[],2024-10-12T18:13:00Z,@dmac7128
"""kylie jenner is a billionaire with a makeup empire."" Nah. Her pimp mother does everything. Kylie is   an empty vessal; kim too.",[],2024-08-22T06:30:25Z,@DevouringWhiteSpider
Americans are gormless and that's why you get rolled all the time.,[],2024-08-22T06:12:33Z,@DevouringWhiteSpider
America is capitalism without a conscience.,[],2024-08-22T06:02:35Z,@DevouringWhiteSpider
"""Shanann"" Watts was a ""girl boss"" look what happened to her.",[],2024-08-22T05:56:59Z,@DevouringWhiteSpider
Just another american scam.,[],2024-08-22T05:55:28Z,@DevouringWhiteSpider
Holmes fake deep voice sounds so stupid.,[],2024-08-20T05:07:06Z,@susansho
*_✨️Gaslight Gatekeep Girlboss✨️_*,[],2024-08-13T08:21:07Z,@majestical15
"I tried to _girlboss_ during this era… It didn't pan out. 

I now realize that girlbossing wasn't for me.

N I'm okay with that ❤",[],2024-08-13T07:25:11Z,@majestical15
im sorry Elizabeth Holmes' eyes scare me. the eyes of the dead fish deranged and secretly quietly insane,[],2024-08-09T11:06:11Z,@judylynnlau450
"Me getting an ad for Kamala for the elections during this :


You set this up didnt you girl?!(Kamala)",[],2024-07-24T16:19:10Z,@wizard.possums
"They ""girl"" bosses are in their masculine...",[],2024-07-17T12:56:56Z,@helenarichard
women make mistakes. However Elizabeth is the devil.,[],2024-07-08T10:56:45Z,@vilerat-m8t
"Lol, well, that didn't last long. As we all knew, it wouldn't.",[],2024-07-04T12:07:50Z,@realeyesrealizereallies1194
"Gaslight, gatekeep, girlboss ❤❤❤",[],2024-06-20T18:55:01Z,@vampirequeenofficial
Gaslight. Gatekeep. Girlboss,[],2024-06-19T17:43:09Z,@faeliyn3239
"So lame. ""Girl Boss"" as term is so lame. If you want equality, don't add gender to a title. Just be a Boss. As usual, just sit back long enough and cringe feminist will shoot themselves in the foot  😂",[],2024-06-06T19:55:37Z,@griever_85
"I don’t think I’ve ever rolled my eyeballs this hard/much in my entire life.

This lady is somethin’ else. She kind of reminds me a bit of Rachel Hollis.",[],2024-05-18T15:33:30Z,@Cassandralynn83
gaslight gatekeep girlboss 💅,[],2024-05-14T22:00:45Z,@primapuella
"I miss being gatekept, gaslit, and girlbossed.",[],2024-05-11T08:34:17Z,@slenderman2741
"Gaslight, gatekeep, girl boss, gag! 😅❤",[],2024-05-05T06:22:31Z,@franmiller1381
Why is the some of the interview footage sped up?,[],2024-05-05T01:50:47Z,@robertmcintyre1854
