comment,replies,date,user_name
"“Let me tell you how I overcame“ adversity” as a privileged white young lady, whose parents paid for all four years of my college education and were supportive of my career change. 
Now my my friends Kelly, Marilyn and I are successful Yoga & Pilates instructors.”

*Women Actually dealing with sh*t looking for motivation: 🤔😐🤷🏻‍♀️🤷🏿‍♀️🤷🏼‍♀️",[],2024-03-16T18:25:46Z,@almitav252
Relationships. Look for a tall guy who's earning AT LEAST as much as you if not considerably more. Ignore all the other guys.,[],2023-03-31T13:38:56Z,@keyboarddancers7751
So she's a sexist,[],2022-07-14T06:49:28Z,@gulag8735
yass pilled,[],2021-06-19T08:31:16Z,@kenechi5168
Girlboss feminism = White feminism = not feminism,"['Not true at all. Many non white women use the term girl boss.', '@@mona-checkoutmychannel7656 *neoliberal feminism, Koa Beck’s book “White Feminism” describes that someone does not necessarily have to be white to participate in her construction of white feminism', '@@alexandraschuster8664 true']",2021-04-09T18:57:28Z,@alexandraschuster8664
girl boss,[],2021-03-28T03:17:02Z,@KikoRockyGaming
I'm confused about the phone conversation in the beginning. Was she asking them for money? Or permission?,['Permission and acceptance.'],2019-04-04T22:58:24Z,@ultravioletpisces3666
Thanks to everyone!!!,[],2017-06-15T23:05:38Z,@innerbalancepilatesandyoga2066
"Gen. What an inspiring TED! You are so accomplished, and you provide just the right inspiring message for all people. I forwarded this to my daughter. Thank you and keep up the great work.",[],2017-06-14T12:26:15Z,@SoarSeeMusic
"Not only encourage and supported, but *expected* to be successful in life. The expectations we set for one another, when followed by support, enable us to become our best selves. Great message Gen DeRose!",[],2017-06-11T12:53:46Z,@SeanFedorko
I want to be like her someday,[],2017-06-11T03:31:41Z,@elajss3958
