index,user,timestamp,rating,title,review,review_raw
4,bppitcher,20230228T023617,1,We Were Three,"Sorry but as soon as Nancy Updike decided to interject that she 'didn't know how people who live in a country with a functioning healthcare system' I started to lose interest. So, if you embrace that line of thinking ( and that all healthcare should be free) you will at least feel right at home. Episode 1 is somewhat interesting if you like hearing about people who can't think for themselves but then Episode 2 quickly degenerates into a story about truly unlikeable (and perhaps not believable) Rachel. Ten minutes into the second episode I had enough and shut it off. Don't waste your time.","Sorry but as soon as Nancy Updike decided to interject that she ‘didn’t know how people who live in a country with a functioning healthcare system’ I started to lose interest.  So, if you embrace that line of thinking ( and that all healthcare should be free) you will at least feel right at home.  Episode 1 is somewhat interesting if you like hearing about people who can’t think for themselves but then Episode 2 quickly degenerates into a story about truly unlikeable (and perhaps not believable) Rachel.  Ten minutes into the second episode I had enough and shut it off.  Don’t waste your time."
5,Beached Farm Girl,20230227T183509,2,Needs More Neutrality,Seems the writers/podcasters/journalists have a hard time staying neutral when telling these stories. Narratives are obviously clear. Very lopsided; it's disappointing.,Seems the writers/podcasters/journalists have a hard time staying neutral when telling these stories. Narratives are obviously clear. Very lopsided; it’s disappointing.
6,The_Real_Honest_Reviewer,20230222T040224,1,"Gross, Unveiled Racism With No Journalism In Sight","If you seek unbiased or fact-based reporting, ""Nice White Parents"" is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed ""reporter"" admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don't want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren't the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig's name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I'd give negative stars if possible.","If you seek unbiased or fact-based reporting, “Nice White Parents” is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed “reporter” admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don’t want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren’t the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig’s name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I’d give negative stars if possible."
8,So much hype,20230216T223046,1,Another Leftist View,When will you do a propaganda show on those who are vaccinated and died?,When will you do a propaganda show on those who are vaccinated and died??
10,Sissarae27,20230209T130009,1,Nope Nope Nope,Stop insulting us with this Covid propaganda.,Stop insulting us with this Covid propaganda.
11,JessaD78,20230205T214417,1,Used To Be Good,Season 1 was good so I figured I'd enjoy the most recent episodes. Seems they've now got an agenda to push...not interested in the spin.,Season 1 was good so I figured I’d enjoy the most recent episodes. Seems they’ve now got an agenda to push…not interested in the spin.
13,JV2134593,20230201T120420,1,Downhill,Season 1 was fantastic. Further seasons seem solely invested in pushing a political agenda. I'm out.,Season 1 was fantastic. Further seasons seem solely invested in pushing a political agenda. I’m out.
15,Blashphmemer,20230122T012815,1,Has Aged Poorly. Disappointed,"Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don't know what really happened, but I know Adnan is a liar or at least he's a half liar with an awful spotty memory. Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. I couldn't get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can't fairly comment. Based on the comments I'm reading, don't waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I'm not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism.","Season 1 of Serial was the first podcast I ever listened to and opened the door to the podcasting world. A stoned liberal at the time with little to no critical thinking skills, I wholeheartedly bought the notion that perhaps Adnan was innocent. I relistened to season 1 recently and concluded that yea, he totally did it and the podcast gives Adnan the benefit of EVERY doubt pointing to racism and xenophobia as the reasons why our justice system could possibly find him guilty. I certainly don’t know what really happened, but I know Adnan is a liar or at least he’s a half liar with an awful spotty memory. 
Season 2 was ok, but boring. Bergdahl was painted a bit too rosey in my opinion. 
I couldn’t get past episode one with season 3 out of sheer boredom and disinterest in swallowing anymore propaganda, so I can’t fairly comment. Based on the comments I’m reading, don’t waste your time unless you can believe the hogwash information coming from media concerning Covid the last couple of years. I’m not even a dyed in the wool Republican, but trash like what this podcast and others adjacent like it (NYT, NPR, etc) are dishing out is pushing me more and more towards conservatism."
22,Leo Prawi,20230104T004438,1,How Much Did You Get Pay From Adnan'S Family And Friends?,"More than 70% of your stories were defending Adnan. Even though he's lying about where he was at at the day of murder. It doesn't make sense too he gave his car and PERSONAL mobile phone to Jay on that day. They are only a classmate not a friend. Those are really big flags. This is a simple case nothing complicated. I feel sad on Hae's family. You put Adnan as a hero and a victim. You are a mother, think about a bad karma to your family, kid and yourself!","More than 70% of your stories were defending Adnan. Even though he’s lying about where he was at at the day of murder. It doesn’t make sense too he gave his car and PERSONAL mobile phone to Jay on that day. They are only a classmate not a  friend. Those are really big flags. This is a simple case nothing complicated. I feel sad on Hae’s family. You put Adnan as a hero and a victim. You are a mother, think about a bad karma to your family, kid and yourself!"
23,13579086421357908642,20230103T210625,1,What Is The Mystery In We Are Three?,Two anti vaxxers died of COVID.,Two anti vaxxers died of COVID.
26,Lunatopia,20221220T070228,1,Propaganda.,Nuff said,Nuff said
