user	timestamp	rating	title	review	review_raw
Syd.14	20230308T035121	5	Season Three Episode One	If you are looking for a story that goes into the justice system but also has a interesting story this is the podcast. Sarah Koenig makes sure the listeners understands the story step by step. During the podcast they use old lips that Sarah goes back and forth explainingn why people are doing this. This was great listening to and totally recommended for others.	If you are looking for a story that goes into the justice system but also has a interesting story this is the podcast. Sarah Koenig makes sure the listeners understands the story step by step. During the podcast they use old lips that Sarah goes back and forth explainingn why people are doing this. This was great listening to and totally recommended for others.
CharF28	20230308T011412	5	Great Episode	I think this is a great episode of Serial. I love how they always go in-depth into what they are talking about and how so much information also has people in the story so you don't get bored of the same person. Usually, I like to listen to podcasts on youtube so I can watch them talk but this podcast just keeps drawing me back in and always keeps me thinking so I don't need to see the actual people speaking. I really think people should watch this. It goes in-depth and you also learn the backstory and the now. You also get to learn things that we can do to better the justice system in America and you learn things that relate to your episode.	I think this is a great episode of Serial. I love how they always go in-depth into what they are talking about and how so much information also has people in the story so you don't get bored of the same person. Usually, I like to listen to podcasts on youtube so I can watch them talk but this podcast just keeps drawing me back in and always keeps me thinking so I don't need to see the actual people speaking. I really think people should watch this. It goes in-depth and you also learn the backstory and the now. You also get to learn things that we can do to better the justice system in America and you learn things that relate to your episode.
Birgittenyc	20230306T235622	5	Always Thorough, Thoughtful And Very Well Written	I have not yet been disappointed and it's been a long run	I have not yet been disappointed and it’s been a long run
Brooke Jones-Henderson	20230217T230647	5	So Excited For The New Season	I have been disappointed with the past few seasons but so excited for the new season! I wish they would release more episodes!	I have been disappointed with the past few seasons but so excited for the new season!!! I wish they would release more episodes!
bppitcher	20230228T023617	1	We Were Three	Sorry but as soon as Nancy Updike decided to interject that she 'didn't know how people who live in a country with a functioning healthcare system' I started to lose interest. So, if you embrace that line of thinking ( and that all healthcare should be free) you will at least feel right at home. Episode 1 is somewhat interesting if you like hearing about people who can't think for themselves but then Episode 2 quickly degenerates into a story about truly unlikeable (and perhaps not believable) Rachel. Ten minutes into the second episode I had enough and shut it off. Don't waste your time.	Sorry but as soon as Nancy Updike decided to interject that she ‘didn’t know how people who live in a country with a functioning healthcare system’ I started to lose interest.  So, if you embrace that line of thinking ( and that all healthcare should be free) you will at least feel right at home.  Episode 1 is somewhat interesting if you like hearing about people who can’t think for themselves but then Episode 2 quickly degenerates into a story about truly unlikeable (and perhaps not believable) Rachel.  Ten minutes into the second episode I had enough and shut it off.  Don’t waste your time.
Beached Farm Girl	20230227T183509	2	Needs More Neutrality	Seems the writers/podcasters/journalists have a hard time staying neutral when telling these stories. Narratives are obviously clear. Very lopsided; it's disappointing.	Seems the writers/podcasters/journalists have a hard time staying neutral when telling these stories. Narratives are obviously clear. Very lopsided; it’s disappointing.
The_Real_Honest_Reviewer	20230222T040224	1	Gross, Unveiled Racism With No Journalism In Sight	"If you seek unbiased or fact-based reporting, ""Nice White Parents"" is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed ""reporter"" admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don't want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren't the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig's name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I'd give negative stars if possible."	If you seek unbiased or fact-based reporting, “Nice White Parents” is not for you. If you want a hate piece targeting white people, then enjoy this misleading propaganda. This podcast spews a slanted viewpoint that white parents are everything, and the only things, wrong with NYC schools. Whether they enroll their kids, fail to enroll them, run the PTA or merely participate — it is all criticized as the narrator tries to prove her prejudiced point of view. This self-proclaimed “reporter” admits in episode 5 that she ignored evidence of white parents working on yet another integration plan because she decided, without any investigation, that their effort was inadequate and uninformed. All the while she criticizes every move white parents make, she refuses to criticize the POC who wrongly accuse the white PTA parents of stealing money. She neither acknowledged the fact that the non white students clearly don’t want the white students present nor criticized their blatant racism. And while belittling the participating white PTA parents (sole reason: their participation numbers are higher than nonwhite participants), she gives a free pass to the non-white parents who chose not to participate. She never asked why aren’t the minority parents more involved. Instead, she apportions all the fault of the NY school inequality to white parents — and only white parents — while inadequately trying to prove that everything white parents do is wrong. I listened because Sarah Koenig’s name is attached. I am embarrassed that she put her name on such poorly reported project. I expected more from Sarah. Her credibility has taken a hit by this lackluster race-baiting piece. The narrator here only researched, or only included, facts and opinions that support her desired story-outcome. She did not diligently follow facts; she selectively sought ones that aligned with the woke, white-shaming picture she sought to paint. This is only half a story and it was told with the sole purpose of making an anti-white propaganda statement. This was a shameful and gross misuse of this formerly-reputable platform. I’d give negative stars if possible.
Maxcraft430	20230209T185713	5	Ok Serial	"do all your serials need to be about crime? If you like comedy then the best serial for comedy is ""Community News podcast"" with Paul and Sasha. It's the serial for Hilarious, ridiculous, hyper local community and funny neighborhood nonsense that goes on everywhere. What serial is to crime...Community News is to comedy. listen to both. My 2 favorite serial, episodic podcasts."	do all your serials need to be about crime? If you like comedy then the best serial for comedy is “Community News podcast” with Paul and Sasha. It’s the serial for Hilarious, ridiculous, hyper local community and funny neighborhood nonsense that goes on everywhere. What serial is to crime...Community News is to comedy. listen to both. My 2 favorite serial, episodic podcasts.
So much hype	20230216T223046	1	Another Leftist View	When will you do a propaganda show on those who are vaccinated and died?	When will you do a propaganda show on those who are vaccinated and died??
Mccoyallen	20230121T230842	5	Great Podcast But You Helped A Guilty Man Go Free	Adnon is lying. Jay may have the timeline mixed up but he is so detailed that I don't think he fabricated the entire story. It seems to me that they probably killed her together and turned on each other afterward.	Adnon is lying.  Jay may have the timeline mixed up but he is so detailed that I don’t think he fabricated the entire story.  It seems to me that they probably killed her together and turned on each other afterward.
