comment,replies,date,user_name
Was this released before she died? If not you are part of the problem,[],2025-11-11T20:06:39Z,@de2025-f2b
"I have something , I want you to ponder for a moment . 
Why do people follow the wealthy and powerful ? 
I think it’s because they emulate them , thinking they can gain insight into how copying the rich and powerful to gain the wealth and power .",[],2025-11-11T19:50:13Z,@jamesbeemer7855
"I am glad her suffering is over but I'm sad that her battle with depression ended her life. Virginia, you were a good woman who took on the powerful and I hope that we can live up to your expectation and hope to hold them accountable.",[],2025-11-11T19:45:22Z,@SequoiaMakes
I am truly heartbroken for what she went through.  It's easy to see how a girl who was sexually abused as a child would turn to prostitution.,[],2025-11-11T19:43:45Z,@Jellohk4422
I want to know why the models aren't talking. he was in charge of Victoria's Secret bragged about it recruited with it. where are the women who were collecting million dollar salaries while they trotted a runway with nothing but underpants and wings on hmm?  Where are they? Why aren't they talking. why is it so silent,[],2025-11-11T19:38:20Z,@BridgetteBachand
"Fu--kers, RIP. I pray her soul is healed. I cry for the child and every other child abused and betrayed in such a horrible way. ❤",[],2025-11-11T19:37:35Z,@HolyMotherHan
"I mean everything that happened to her is awful. And those scumbags who did that are evils. But why on earth did she stay? She wasn’t taped, she chose to do that for money. I’m sorry but I’d rather starve than prostitute myself. 17 year old for her generation isn’t like nowadays. I am her age and you had to be wise and careful. To me she kind of chose that path - an ugly one.",[],2025-11-11T19:28:00Z,@missuk7679
To be a billionaire you have to be greedy.  Some are greedy but follow the laws but others are greedy and break the laws.,[],2025-11-11T19:27:17Z,@Rodger_Dodger007
Is it me or does the interviewer seem not equipped to do the interview? Like her understanding of the situation and fairly basic understanding of people seem surface level.,[],2025-11-11T19:23:52Z,@slappyfun
David I c ke’s new channel goes into a great deal of detail. He says this is merely the tip of the tip of the iceberg.,[],2025-11-11T19:21:00Z,@annabelle_michelle
"Watching the part where she talks about suicide and having an angel on her side, makes me so so sad. I really wonder if she truly committed suicide. They need to realease the files and everyone who was involved needs to be brought to justice. Her blood is on their hands!",[],2025-11-11T19:20:51Z,@hollymarino6652
"thanks for the truth.
thanks for handling the interview with care where possible",[],2025-11-11T19:19:04Z,@tombstonevulturecommand
Make  FLYERS .SHARE 📢 SHARE 📢SHARE📢 . MAKE POSTERS ‼️‼️‼️📢 MAKE SIGNS 💥‼️‼️📢 SHARE 📢 SHARE📢SHARE .,[],2025-11-11T19:17:54Z,@JulianMartin-l6h
Too many very crazy losers,[],2025-11-11T19:17:11Z,@Jade.123
"RELEASE THE EPSTEIN FILES. At 45:00, she points out all the doctors, psychologists, stylists, dentists, and others who enabled the abuse. ALL of them should be held responsible.",[],2025-11-11T19:17:02Z,@christinamcghghy2039
"1:10:00.  That's right.  It is ALL of our responsibility to not turn a blind eye,  and to put work in to stop this!  We can all take online trainings of how to spot and safely and successfully report trafficking.   Operation Underground Railroad has a free and excellent online course.  And there are  many other organizations we can donate to and volenteer with.",[],2025-11-11T19:12:24Z,@Jackson-ts-thoughts
By not naming the people involved she smeared all of them. This should not be okay with anyone. I feel for her but her sweeping accusations leave me feeling less sympathetic.,[],2025-11-11T19:09:27Z,@mrtoadslove
"its got to be remembered,""it was her choice""",[],2025-11-11T19:08:49Z,@alexlanning712
1:06:35. 1:04:00.  1:05  She said he always wanted 'the younger the better. '  How many babies did he raise for the sole purpose of sex trafficked innocent incredibly young children?!!  😭,[],2025-11-11T18:58:55Z,@Jackson-ts-thoughts
Ghislaine had established credibility meeting her at Maralago. Credibility opens all doors. It’s a slimy manipulative thing to use it for evil.,[],2025-11-11T18:58:00Z,@im-gi2pg
Idiot naive Dad. Dropping his daughter off for a nighttime job interview. 😮,[],2025-11-11T18:53:54Z,@im-gi2pg
Isn’t it pretty obvious that she couldn’t tell her mom and dad protected her when she was seven how did she think they were going to protect her now?,[],2025-11-11T18:42:12Z,@kimberleyhosmer5997
Her parents knew before it even happened to her,[],2025-11-11T18:40:12Z,@amorg527
"RIP beautiful lady, I'm so sorry 😢",[],2025-11-11T18:33:14Z,@shellimendoza7332
I dont understand how the parents didn't ask where their teen daughter was during all the time she was trafficked. Blows my mind!!,[],2025-11-11T18:31:51Z,@missmystery1212
Such courageous woman. RIP Virginia,[],2025-11-11T18:21:14Z,@carlyescudero9770
why does this reporter keep smirking ????,[],2025-11-11T18:06:20Z,@iLikeEggNyom
"when they pulled out that picture of her with naomi or epstein, she looks like a freaking baby. the way no one said anything makes me realize how normalized this behavior is amongst those people. so gross, especially seeing grown women around. makes me feel disgusted.",[],2025-11-11T17:53:12Z,@lilyibarra2980
"This is just one such empire in the world. Hyper focusing on this one without acknowledging that fact does a disservice to us all. He wasn’t the biggest, or the worst, or even the best connected. Just unlucky. Remember, he was instantly replaced.",[],2025-11-11T17:52:53Z,@aliasalias8681
I believe the victims!!!,[],2025-11-11T17:44:33Z,@joayndana5273
I have so many questions.....,[],2025-11-11T17:40:13Z,@ponderin
"This interview explains so much- Jeffrey had info on all these rich men and used it to blackmail- so it would make sense he had a lot of info on Trump- pictures, videos etc.     Karma is coming Donald.    My prediction- Maxwell will be pardoned soon",[],2025-11-11T17:33:35Z,@hodadog2
"She wanted adventure.
Probably begging her parents to let her go.
When she realized what she was involved with.,.....
. couldn't she have said no ?
She needed Jesus 100%",[],2025-11-11T17:24:05Z,@Nationalfruitcakeoutlet
"I hope people aren't so stupid to assume every single celebrity and powerful person up there doesn't know exactly what is going on. She's talking about Naomi Campbell's birthday party, an example of an event where hundreds of powerful people are. Intelligent people. You don't think they know exactly who their friends are ?  They can see these Children at these events,  at their pals homes,  being carted around like property. No one doesn't known that these kids are sex slaves. Wake up and stop worshipping theses people. If they know and they do nothing they're part of the gang.",[],2025-11-11T17:23:49Z,@hb01888
"That this survivor who was so intelligent, articulate & hopeful yet succumbed to suicide is a severe tragedy in itself. Why was her husband allowed to take away her children & not let them see their mother? He turned against her the same way every male in her life from her early childhood turned against her and abused her. My heart breaks for her....we lost an important advocate & gentle soul the sad day Virginia left this earth.",[],2025-11-11T17:16:54Z,@MShama-ze1kx
Funny that Trump is willing to bomb yachts on the idea that they might be trafficking drugs but nothing about trafficking humans,[],2025-11-11T17:12:47Z,@PierogiInspired
I dont know why they wont release the files if Epstein is now dead? Wouldnt surprise me if Starmer is in there...,[],2025-11-11T17:08:04Z,@clairel1971
Who’s behind neomi Campbell?  He looks way familiar.,[],2025-11-11T16:58:20Z,@susiebellemccullough9541
"Thank you for your articulate nature, honesty and bravery, Virginia.❤
It is obvious that she was murdered. This is unacceptable to just accept.",[],2025-11-11T16:55:36Z,@sharireilly353
What a terrible waste of a young life. The kind of people who abused Virginia would never come forward because they are not wired up like normal people. They are incapable of doing anything good,[],2025-11-11T16:45:17Z,@chrismartenable
"i'd like someone anyone to explain to me if this woman did not like being trafficked, why did she stick around, ?, and lets face it her own words she knew it was wrong, not chained up had the freedom to go anywhere, so why did she stay, ?  she was not forced to stay, so please explain that, i bet no one tries to explain it,",[],2025-11-11T16:37:33Z,@Jimmy-4you
"Far too many people had it out for her. Powerful people. I hope that Virginia is at peace. I believe she is now, but unfortunately gone too soon.",[],2025-11-11T16:36:19Z,@TeriHillgartner-hv4vl
"Virginia was not trafficked, she went willingly with Epstein. She did the same things as Ghislaine has been accused of.",[],2025-11-11T16:21:26Z,@jeanettesarnella9278
"Finally at eternal rest,….miss  Virginia Giuffre (pronounced: “Jew Free”) is free….😮",[],2025-11-11T16:11:13Z,@DesignatedThinker
Did the parents know? What kind of people are they?,[],2025-11-11T16:10:22Z,@caroljohnson6685
"“Money should not buy you the power to get away with hurting people.” And at the minors… yet the wealthy do and the little guys get thrown in jail immediately… if the system doesn’t work for all, it is broken… we have a class issue in the world and I’m sick and tired of the system working for some and not all",[],2025-11-11T16:06:45Z,@Solarangellightworker
This is crazy and weird 😢,[],2025-11-11T16:06:02Z,@agak370
I don’t understand why she chose to bare her soul to this network and this obvious heartless interviewer,[],2025-11-11T16:04:55Z,@VanessaStepp-h6x
This girl DID NOT commit suicide!,[],2025-11-11T15:58:10Z,@1122rb
RELEASE THOSE FKG FILES !!!!! Nnn,[],2025-11-11T15:49:08Z,@HeartLess-uz5vs
R I P,[],2025-11-11T15:49:08Z,@alfredpetrie7920
Tragic,[],2025-11-11T15:48:56Z,@alfredpetrie7920
"God Bless, AZ, and Ms Grajalva May WE the People finally see justice for the victims, a hope for all victims famous and not famous.",[],2025-11-11T15:48:54Z,@TKangas
"When trying to rememmber the timelimes of when things like this happened, try to remember the pop culture.  What songs were always on the radio.  What TV shows played in the background.  Who was on magazine covers.  What was on the news.  If you had access to those things.",[],2025-11-11T15:44:04Z,@PierogiInspired
"Am wondering: The mariage, was it an ish arranged  thing, ... making her believe it was fate?",[],2025-11-11T15:43:43Z,@estelhagdorn7455
They killed her,[],2025-11-11T15:37:15Z,@Yasara.L
This is horrifying!  How did these sick monsters even find each other?  She was the champagne at parties? I am just sick.  This poor woman.  May she rest in peace.   I shudder to think how many victims there are 😢,[],2025-11-11T15:30:15Z,@ckbabs
Virginia deserves justice the least❤,[],2025-11-11T15:26:20Z,@Lolacocolala
