timestamp,content,rating,user_name,title
2021-07-27 00:31:30,Great podcast series. Please do a few updates with the latest information.,5,Mattie70,Great podcast series
2019-11-20 13:57:52,This is riveting stuff which is superbly produced.,5,SaxonPompey,Must listen
2019-12-23 06:28:54,Last episode they claim to solve the mystery about how he died but complete lie. Pretty good series overall but ruined by the click bait type of approach from the podcasters,1,Zomato 5 stars,Do not solve anything
2019-11-29 01:14:05,Over sensationalised over dramatised. Lots of good interviews and information I’m just not into the whole shock value delivery,3,Sensual_Lettuce,Yeah nah
2019-10-23 23:50:59,This podcast is excellent,5,nicole cornes,Excellent... when is the next drop?
2019-10-16 05:58:21,"It’s hard to find a good podcast worth listening too, this one is great really enjoying each episode.",5,MelVeeks,Great podcast
2019-10-10 19:32:23,Love your work!!!! great way to start the day,5,bigkelsmith,Kel smith
2019-09-19 22:27:12,"Incredible story, cannot recommend enough!",5,Bigdave2904,AMAZING!!
2019-09-12 23:18:04,What a conman. What a lurking shadow.  What a rock spider. What a story!,5,scuttlebuttmedia,Epstein
2019-09-15 06:20:32,This sounds great and is very entertaining. They have some good interviews in episode one. I don’t have a dog in this fight but I’m going to have to do some soul searching about whether I should listen to any more of this. Dylan Howard aka mate of Harvey Weinstein is the EP. How strange. At least they are upfront about it. Not sure I can keep listening without feeling a bit yuck.,4,SawHole,I like this but Dylan Howard is the EP
2019-09-14 00:06:10,Seems very promising but horrible audio on one of the phone interview. I would rather not have that interview than have such a bad quality,4,Caroshshdbb,Bad audio
2023-02-04 19:43:47,"Very well done podcast!  Professional, easy to listen to.  I binged it over a few days … was not enough!  Thank you!",5,TinkO'Bell,Excellent podcast
2021-03-14 00:39:02,Go fuctorius your self,1,Jackrobinson50,Factorius
2021-02-18 22:52:46,Content seemed good but WAY too many advertisements. I didn’t listen to all of them because of that. I like to listen to podcasts in bed and I don’t want to have to keep pausing to skip through ads.,2,#MJTASTA,Interruptions
2021-02-17 10:28:37,"An American podcast that seems to be more interested in the Epstein and prince Andrew connection as a cover rather than his connection with les wexner,clintons ,bill gates,pinker etc and in a twist uses one of the accuser dershowitz as a contributor",1,Tindersux1000,Bizarre limited hangout
2020-05-30 02:49:42,Best podcast on Epstein,5,karen8196,Well done
2020-01-05 05:37:52,But seriously even the comments on here sound like bratty children who either are on the red team or the blue team.  Even when it’s about this POS you guys are making it about politics.  Sheesh give it. Rest.,5,Mtcutie,No skin off my back. I AM CANADIAN!
2019-12-29 21:07:29,"Although I’m enjoying the podcast and the content, I can’t ignore that everyone seems to be speaking very fast! Almost like fast forward as some parts...it’s very distracting",3,Malcolms_Mom,Why are you talking so fast?!
2019-12-11 05:54:11,Jeffrey was innocent.. he was set up by the queen.. fake news!!,5,griselda21,Fake news!!
2019-11-29 05:05:06,Couldn’t wait for the next episode.,5,AwarrenB,Awesome
2019-11-08 02:07:24,"Easy listening, logical sequencing and a vast variety of interview sources. Compelling storytelling, but terrifying to discover the facts and extent of corruption. I’m addicted to this podcast.",5,Malmcdonald,Masterfully crafted.
2019-10-03 04:56:51,Gives you a total picture of who this freak was.,5,jazzy3145,Devil alright!
2019-10-01 06:39:59,"Seriously the KGB?? No mention of the Mossad? Where is this coming from. Sounds like it’s written by Christopher Steele.  Don’t waste your time, fake news.",1,DancingDark,Misinfo??
2019-09-19 23:05:32,Danielle speaks far too quickly.  It ruins the podcast.,3,Walldooo,Can she talk any faster?
2020-05-02 13:28:30,Beautifully presented. Extremely professional and well researched. Wholly recommend this podcast.,5,David Rhys,Superb. Engaging. Shocking.
2020-11-23 03:14:45,"Clever podcast, good investigators and interviews, so annoying the amount of ad beaks tho",4,Richienay23,Adverts 😭
2020-01-22 09:55:02,"There are a lot of Epstein podcasts so I chose this one off the back of its ratings and reviews. It did not disappoint. I was gripped the whole way though, great journalism, great sound quality & production, lots of things I didn’t already know. 10/10",5,AlexandraCox,Very good
2019-12-22 14:12:54,This man was a real creep’ he got killed to shut him up serve him right. I hope Ghislaine gets her day in court she’s as bad as him and is obviously being protected because she has serious dirt to throw if she needs too. All wrong. I hope the girls get their hands on he’s money they deserve it.,5,Debokye,Very good listen
2019-09-26 02:28:29,Very interesting podcast! Keep them coming.,5,The-code7,Excellent
2019-10-21 13:30:04,Really good content but cannot play all episodes properly.  They appear like each show is 20 seconds.  Another iOS bug?,4,thx67,Good podcast but issues with playback
2019-09-19 23:14:21,I was on tenterhooks! Can’t wait for the rest,5,mohammed bin ran khein,Gripping
2019-09-16 09:01:40,Look forward to complete series,5,charliefash,Fascinating
2022-02-11 20:29:15,"Thoroughly researched, non-biased, well produced, clearly narrated … everything you want in a true crime podcast!!! I could go on & on about how brilliant this is but just see for yourself! You won’t be disappointed I promise.  I’d give more stars but there are only 5!!",5,"Jon Hartnett, Ireland","Exceptional Podcast, Just Class!"
2019-11-13 09:23:52,Glad that someone is talking about this but many of the stories and interviews are repeated in multiple episodes.,4,theBrandiBurgus,Interesting but repetitive
2020-02-10 10:31:14,There's some interesting content here. But the episodes were way too repetitive. Felt like the producers are trying to drag out the programme. Stopped listening and didn't finish the episodes because of that.,2,CWSGD,Interesting but way too repetitive
2021-12-01 20:45:02,"Those of us who are familiar with a portion of the powerful wealthy of NYC as private contractors, service and fashion industry employees, restaurant staffs, caterers, dental-medical, etc. know Epstein is not alone as an arrogant manipulator. Epstein was sloppy as he took his exploitation to an unbridled level. Many of those interviewed live in the same bubble as Epstein, equally insecure, and unable to be outside this world of the soulless, and emotionally vapid. Epstein just got “caught”. Not a fan of Trump, but agree w other reviews that there is no substantive mention of Clinton’s association with Epstein and Maxwell. Tsk, tsk. Not cool.",4,hazelbnr,Epstein syndrome
2023-09-19 17:21:53,Seems weird to go to all the trouble of making a podcast just to make it about Trump somehow but good luck I guess.,1,JUtah31,Pass
