review_id,rating,title,content,date,developer_response,user_name
9072121872,5,Wish the rest was available for free,"I don't mind lots of ads so the podcast can create income, I understand that people took lots of time to work on this. Please consider letting the rest be free with a bunch of ads in it for income",2022-09-10 15:07:39-07:00,,inquisitivespirit
8418275503,1,Subscription??!!,"Why can’t I listen to this for free anymore??!! 
VERY disappointing!",2022-03-03 22:48:19-07:00,,Lozz2376
7055601405,1,Way too many ads,Absolutely ruined an ok podcast with the ads don’t waste your time!,2021-03-01 23:15:35-07:00,,niamhmc1988
7055179832,1,If you want more than the first 2 episodes you have go to their website and pay $,"After getting the first 2 episodes I am hooked, but the rest of the episodes are unavailable without paying.",2021-03-01 20:12:22-07:00,,bugck it df
5878070844,4,Wonderful,Another Wondery masterpiece. Amazing story telling and detail. Highly recommended.,2020-04-28 21:35:07-07:00,,Dafoshow
5700710573,5,Brilliant Series,I am riveted!! Hanging on every word. Thank goodness he took his own life. Coward. At least he saved the American people the cost of keeping him incarcerated.,2020-03-23 03:27:07-07:00,,Tracey Star
5405508932,5,Get the facts not the hype,Epstein maybe dead but Wondery does a superb job of bringing you all the facts without the overblown hype.,2020-01-14 23:27:34-07:00,,jlo8872
5306841242,5,Excellent yet Disturbing,"A terrific journalistic piece crossing 6 episodes, but still disturbing in its travesty of justice, ability for the rich and famous to escape justice and their cowardice in facing up to their crimes and bad behaviours",2019-12-22 18:13:48-07:00,,Cheryl Hayman 01
5233702783,2,Lost credibility,"This podcast lost credibility when they said Jeffrey Epstein had a temple on his island that “appears to have a door that locks from the outside”. This appalled me so I checked the drone footage, and the “door” is a painted tromp le’oil. Its actual door is a glass sliding door - very normal. A great example of how to be technically telling the truth but actually misleading. Now I have to wonder how many other things that I think I know from this podcast, are not true. Surely this guy is horrifying enough that you don’t need to exaggerate anything.",2019-12-04 13:28:45-07:00,,Louiseallana
5222729218,1,What a joke,Wayyy too many adds for the length of episodes. Other podcasts available on Jeffery without all the interruptions !!,2019-12-01 15:12:56-07:00,,Alixmcnamara
5194201723,5,Addicted,After listening to this I am more certain than ever that he didn’t kill himself.,2019-11-24 21:24:48-07:00,,zo-e-13
5175595738,5,Another great Wondery podcast,"Loved this one - really engaging and well reported. I actually liked having the ads all in the middle too as I could skip or listen to them all at once, rather than having a shorter ad interrupt the flow every 5-10 mins like other podcasts.",2019-11-20 23:27:15-07:00,,Bunny0246
5168952521,5,Essential listening,So much of this has been covered up. This is a riveting podcast,2019-11-19 07:30:41-07:00,,purplebuffy666
5167748917,5,TigerPowerrrrrrrr,What a rege ripper !,2019-11-19 01:33:23-07:00,,Tigerpowerrrrrrrrr
5133861718,3,Ads ads ads so annoying,"3.5 mins of ads within thirty min episode. Ridiculous. You can’t just set and forget it.
Most annoying because the narrator does the ads too so you can’t easily skip them over as you have to listen to see if he is selling a stupid product or informing us of the story.

The content is good though. Very well researchedz",2019-11-13 14:36:35-07:00,,Resisnewblack
5129756868,3,Way too many ads,The ads-to-content ratio for this series is way off. Really disrupts the flow and makes it feel like a 60-minutes piece.,2019-11-12 17:14:49-07:00,,cass_attack
5110531954,2,It was just OK,It was an easy listen but honestly such surface level information. This is such a complex story that goes on for decades and I don’t feel this Podcast dived deep enough into the hollows of this complex story. Although interesting- not detailed enough.,2019-11-09 03:07:35-07:00,,MissRaphael3
5066740831,5,Brilliant!,Well done. Compelling listening. Please investigate his co -conspirator Ghislaine Maxwell. She needs to be held accountable for what she has done as well.,2019-11-01 20:12:56-07:00,,SunshineAnd Lolipops
5066424211,5,Loved it,"Well researched and informative. I’m sad that it’s over.
Everybody needs to chill about the ads. If they don’t have sponsors we don’t get the podcast. Get over it.",2019-11-01 19:29:38-07:00,,Cee see
5051099241,5,Outstanding,A compelling look into the life life and crimes of this predator who managed to operate in broad daylight for decades.,2019-10-30 08:02:57-07:00,,Sar Sully
5048298187,5,Amazing.,Incredible choice of sponsor.,2019-10-29 18:27:59-07:00,,DamnLomas
5011617389,5,The mysterious mr Epstein,I just can’t get enough of knowing about Geoffrey Epstein. Great podcast,2019-10-25 02:23:07-07:00,,babs by the sea
5011277861,5,Great journalism,Brilliant and terrifying,2019-10-25 01:06:23-07:00,,Jimbo Oz
5004316538,5,More to the story then I first thought,Good investigative journalism.  Fascinating.,2019-10-23 19:29:09-07:00,,Scoutlabrador
4996547271,5,Excellent,"I love an intelligent and informative podcast that is also cool and unique. Very rare, well done 👍🏻",2019-10-22 03:08:10-07:00,,devia8
4995865413,3,Good but too many promo’s.,What a creep!,2019-10-21 22:58:27-07:00,,cmac808303
4995572453,3,Good content. Excessive advertising content,"I really appreciate this series shedding light on atrocious crimes and giving power back to the victims. 

The ads are excessive, repetitive and intrusive to the narrative. Really make it a hard listen.",2019-10-21 21:08:51-07:00,,gbaz64
4991136433,4,Voiceover on headphones problematic,"The podcast switches between both ears of the headphones for a conversation (surround sound style) which whilst dramatic is irritating and a bit surprising. A few times it has made me jump.

Great podcast but this feature is not good.",2019-10-20 23:42:31-07:00,,Jast2019
4983905206,3,Good content but WAY too many adverts,Good content but WAY too many adverts.,2019-10-20 02:02:00-07:00,,star review 2.2
4952582509,5,GOAT Creep,As always this is a well researched and delivered podcast from Wondery. You’ll find yourself either simply with jaw open or yelling at your phone over the magnitude of this mans profound creepiness and the willingness of the rich & powerful to embrace him whilst sweeping his crimes under the carpet. Shame on all of you . Thanks again Wondery .,2019-10-15 14:38:37-07:00,,Cocochic Clothing
4952460803,5,Must Add,"Great, informative podcast. A must add to your library.",2019-10-15 13:53:50-07:00,,Trolley_monster
4917184962,4,The best of the current Epstein Podcasts,"Great production and narration and obviously well researched so far (ep3). This is one of those podcasts I look forward to each ep.
Two criticisms: way too many ads, which are quite long, interrupting the flow of the story. It’s a big turn off as I had to keep rewinding back to remember where we we at. The length of time between publishing each episode is long 😊",2019-10-10 01:13:21-07:00,,lisaindarwin
4912474308,5,Brilliant!,Love the narration- Wondery never ceases to excel !,2019-10-09 01:09:07-07:00,,magnatronic
4911506792,5,👍🏼👍🏼👍🏼,Brilliant!!! A must listen 👍🏼,2019-10-08 19:20:38-07:00,,Debster from Down Under
4908563041,5,????,How did this happen? I don’t understand how so many people knew what was going on yet nobody did anything.,2019-10-08 03:42:19-07:00,,wajamiandara
4901918137,5,Another evil genius brought down by his penis,Countless evil rich  psychopaths have fallen from their towers because they can’t keep their sexual desires in check. An evil genius with a low libido- now that’s an unstoppable force. Can’t wait for the next episode. First class podcasting.,2019-10-06 17:26:34-07:00,,Evansabove74
4890741632,5,Intriguing,Very interesting. Looking forward to the next episode.,2019-10-05 04:25:14-07:00,,ESTatts
4882177927,2,Ad complaining is a joke!,"This is obviously a well made podcast which means 100’s of hours for a 30-40min episode. To think that a couple of 15 second ads make it difficult for some people to listen. Go put your phone on record and talk for 30 minutes and listen to it then you’ll really see how boring you really are! 
To all the other people that appreciate true journalism this podcast is epic!",2019-10-04 00:02:11-07:00,,Cocowera
4882069874,2,Great ... but can’t,"I’d give it a five if it didn’t have so many ads... hell if I’d known it was as good as it is I probably would’ve paid for it ...
Ads make this impossible to enjoy ...
Same VO for the Ads as the story ... not a good idea.
Pity... excellent reader , good production.",2019-10-03 23:39:10-07:00,,Sneakypuff
4881746077,2,Too many adverts,"So hard to follow podcast due to advertisements interrupting plot .
Very disappointing as it’s not in the true format of podcasts.",2019-10-03 22:33:19-07:00,,POTTINGER
4880303076,2,Ads,"So many ads it’s actually difficult to listen to. Wish I could keep going, but it’s too much.",2019-10-03 16:59:31-07:00,,Lnknln
