comment	replies
The fact that Elon musk relies on the republican electorate will only damage the republican camp. Democrats might win the midterms with divided republicans	[]
America First And America Only.	[]
Can I join lol😂😅😮😊	[]
If u not work or no business, start a political party for jew community	[]
Elon Musk is right. He understood that Trump is old.	[]
Donald J. Trump we will remember if you have our my country, all in Cambodia know that our small country but we have big heart , kind , honest, please save Cambodia for peace 🙏🏻🙏🏻🙏🏻🇰🇭	[]
It's not new. It was already flourishing in 1930s Germany.	[]
That is the best thing  for America , American people and the world ! " WE THE  PEOPLE . FOR THE PEOPLE BY THE PEOPLE   Elon Musk  save us all .	[]
The most deadly thing now is that the CCP has begun to implement high-pressure rule. In the past two days, the registration of online ID cards has begun! Two professors opposed it, and they were both blocked. In the future, the right to speak on online platforms such as TikTok will be completely gambled away! I also hope that the great and free and democratic American authorities will speed up the coordinated use of force to crack down on the CCP and create an opportunity for the mainland people to rebel!	[]
That seems like a good idea so far to make a Third Political group. But got to be careful because there are alleged bribed corrupted politicians around the the world that have been bought by many types of rich criminals. Like the Yakuza that bought some Japan Corrupted Politicians. Plus Triads that bought some China corrupted politicians. Even North America has corrupted politicians in both the Democrats plus the Republicans. Also not saying the Third Political group is corrupted but look at the Purge Movie series they gotten a Third Political group called the New Founding Fathers that is made up of a bunch blind stubborn wreckless pricks that nearly destroyed America making every crime activities legal for 2 in a half days in a event they call the Purge granting Ranked 10 government officials immunity from the Purge except for that Election year movie but gets worse in the Forever Purge because after the siren emitted the loud alarm they still kept going to do many crimes putting every American states to martial law even Hawaii plus Alaska which then resulted in not just blaming plus hunting the New Founding Fathers but getting the New Founding Fathers Killed. Not saying that is gonna happen not even saying that's what they're gonna the New Third Political group but just saying better make sure they don't get much if at all Corrupted by bribe money from any criminals nor cause much worse problems than before so they gotta make everything better by getting rid of Problems fast.	[]
Uppuleti anjaneyulu Elon Musk fan's	[]
You’re mostly all zombies. Do research before commenting	[]
Anything to get in the spotlight. This guys ego can been seen from space. Everything else on him is tiny , its a wonder hes such a dick. Bye.	[]
https://youtu.be/IfhWyYW6idU?si=sHdJIKECTUxtxmOP\n\nA.i Elon musk he his just an image just like Donald mc Donald's trump name and delivery baby blacks jumped Therron then he ended up missing yo stop making students presidents oops Johnny from Houghton West Chase Grand apartments by the pool in the front stair case\n\n\n\n\n\nElon musk made up A.i to take other countries money	[]
Good for him !\nLet’s loose the democratic one 😂	[]
I can't decide whether to laugh or cry ...	[]
Underrated gem	[]
https://youtu.be/ME6R0HDeukM?si=mwt9IWURNmgOaBKO	[]
Western cuntry alert?  Momidian is your country s west mins bhangar and your house nickers all capable? All western cuntry s situation go for Momidian is waiet callers man allowed my country? Please go your country? Don't know the end of you ???	[]
Came for the thumbnail, stayed for the vibes	[]
Money made the south african blind	[]
Visit or see Cape Town's fairest landscape called The Witch of Hex River Valley through the lens of photographer Aubrey Thomas Goodman	[]
Things getting interesting seeing the way $TRUMP and $AP went from allies to enemies in 3 months is WILD \nProps to BingX for letting us vote with our wallets lol\nIf you’re watching this and haven’t picked a side yet, quote that tweet & submit your BingX UID easy airdrop \n#MemeWar2025	[]
I can t stop smiling watching this	[]
Fantastic news! All the young people in the world will vote for this guy 🙏	[]
This gave me chills… in the best way	[]
Elon dont get free money, start own party to win to get free money.... taxpayer and government initiatives money..... bought twitter for the right of freedom of speech, no list and him using twitter to throw image's of Trump/Epstein from 1992 up in a tantrum..... its all just a show 😅	[]
クレバテス-魔獣の王と赤子と屍の勇者	[]
Turns out he is actually a NAZI. He started the trend. I hate you guys but at least we're not American. You're awful but because you are gay black Muslims. I'm not sure what's worse. They are all the same really. Nazi scum. The lot of you!!!!!!!	[]
I hope his robots are not as crazy as he is.	['Grok is!']
Elon - look, I really liked you and enjoyed listening to you. However, once you got into politics you have (in my opinion) become just another politician with your head firmly up your ass. You are becoming just like the crap you rave against. Just keep doing what your good at - missiles and ev autos to name just two. If you don’t get out of politics I will no longer support you. You don’t need it and are doing yourself a disservice. Come on, use your head rather than your ego. Let trump do what he wants and get out of that.	[]
what does bbc stand for?	[]
Kazakhstan supports Putin's course and supports the idea of ​​the Briggs currency. Kazakhstan does not pump oil into the US, but the US pumps oil into the Caspian Sea. Mr. Trump needs to understand this.🤣🤣🤣🤣🤣	[]
The Bitter Ex Party.	[]
As long as BBC chooses what to publish, no normal person will belive what they are saying	[]
Musk có thể làm được nhiều điều mà các tỷ phú khác cho là không thực tế, Musk sẽ thành công, tiến về phía trước để lại những lời chế giễu phía sau.	[]
Elon rigged one election. He can do it again	[]
The United States could very well be ready for an American Conservative party  now that the Republican party has abandoned fiscal responsibility as part of its platform. I do not think this should be Elon driven and would much rather see those like Liz Cheney, Mitt Romney and the like get this off the ground. Elon can certainly provide some support from the sidelines but better to stay away from any organizational role.  No current sitting Republican member of the house or senate should qualify to run for such a party based on where thay have placed their votes. I generall lean left of center but understand the need to have ideas which lean right of center. The current Republican party is mostly about hate and division which should have no place as an established political party in the United States. I would not necessarily see an American Conservative party as a 3rd party but as a replacement for the Republican party that has been hijacked, and stained beyond repair.  The expectation is that the GOP would disappear as an option all together.	[]
Trump is the real enemy of America. Trump is destroying America for his personal interests.  Trump wants to make all his offsprings and relatives richest men of the planet at the cost of America.	[]
Go and takeTrump, Elon!!	[]
Tesla Party ?...\n'X party ? ..\n\nOr XXX Party 🤣🤣🤣☠	[]
VOTE ELON MUSK OFN MAY 6TH,........AND GET RID OF DEMENTIA DONALD ,THE SENILE WILD CARD PUTIN SYMPATHISER\nLETS MAKE INDIA GREAT AGAIN	[]
People of America please learn from Sri Lanka \nElect a human for a president, our people took 76 years of training to do so	[]
So now ANYONE with money can start a political party in USA no matter if  you are a total lunatic like Trump or if youre an nazi saluting rocket man. This wont end well for the future of humans.	[]
Elon Musk: I'm launching a new political party!!!\r\nJoos: Great... we'll need to spend more money canvassing this new party also... oi fey...	[]
Another Israel 🇮🇱  party that supports mass murder?	[]
