comment,replies,date,user_name
The fact that Elon musk relies on the republican electorate will only damage the republican camp. Democrats might win the midterms with divided republicans,[],2025-09-10T11:24:12Z,@_unkown8652
America First And America Only.,[],2025-09-06T18:21:33Z,@josephhelm-w2c
Can I join lol😂😅😮😊,[],2025-08-21T05:36:25Z,@lilWaynePhillips
"If u not work or no business, start a political party for jew community",[],2025-08-18T08:01:53Z,@abduljalal6501
Elon Musk is right. He understood that Trump is old.,[],2025-07-27T17:53:05Z,@parenpatel2093
"Donald J. Trump we will remember if you have our my country, all in Cambodia know that our small country but we have big heart , kind , honest, please save Cambodia for peace 🙏🏻🙏🏻🙏🏻🇰🇭",[],2025-07-27T15:26:46Z,@PhanNary-r3m
It's not new. It was already flourishing in 1930s Germany.,[],2025-07-26T20:52:25Z,@onesandzeroes
"That is the best thing  for America , American people and the world ! "" WE THE  PEOPLE . FOR THE PEOPLE BY THE PEOPLE   Elon Musk  save us all .",[],2025-07-20T21:47:13Z,@rajkacampagiorni9525
"The most deadly thing now is that the CCP has begun to implement high-pressure rule. In the past two days, the registration of online ID cards has begun! Two professors opposed it, and they were both blocked. In the future, the right to speak on online platforms such as TikTok will be completely gambled away! I also hope that the great and free and democratic American authorities will speed up the coordinated use of force to crack down on the CCP and create an opportunity for the mainland people to rebel!",[],2025-07-18T13:37:05Z,@woxinzuiku
That seems like a good idea so far to make a Third Political group. But got to be careful because there are alleged bribed corrupted politicians around the the world that have been bought by many types of rich criminals. Like the Yakuza that bought some Japan Corrupted Politicians. Plus Triads that bought some China corrupted politicians. Even North America has corrupted politicians in both the Democrats plus the Republicans. Also not saying the Third Political group is corrupted but look at the Purge Movie series they gotten a Third Political group called the New Founding Fathers that is made up of a bunch blind stubborn wreckless pricks that nearly destroyed America making every crime activities legal for 2 in a half days in a event they call the Purge granting Ranked 10 government officials immunity from the Purge except for that Election year movie but gets worse in the Forever Purge because after the siren emitted the loud alarm they still kept going to do many crimes putting every American states to martial law even Hawaii plus Alaska which then resulted in not just blaming plus hunting the New Founding Fathers but getting the New Founding Fathers Killed. Not saying that is gonna happen not even saying that's what they're gonna the New Third Political group but just saying better make sure they don't get much if at all Corrupted by bribe money from any criminals nor cause much worse problems than before so they gotta make everything better by getting rid of Problems fast.,[],2025-07-14T21:53:54Z,@gabrielivan2538
Uppuleti anjaneyulu Elon Musk fan's,[],2025-07-13T12:41:41Z,@UPPULETIANJANEYULU
You’re mostly all zombies. Do research before commenting,[],2025-07-13T12:29:01Z,@alexmason2253
"Anything to get in the spotlight. This guys ego can been seen from space. Everything else on him is tiny , its a wonder hes such a dick. Bye.",[],2025-07-12T16:43:51Z,@lawrencenoctor2703
"https://youtu.be/IfhWyYW6idU?si=sHdJIKECTUxtxmOP

A.i Elon musk he his just an image just like Donald mc Donald's trump name and delivery baby blacks jumped Therron then he ended up missing yo stop making students presidents oops Johnny from Houghton West Chase Grand apartments by the pool in the front stair case





Elon musk made up A.i to take other countries money",[],2025-07-12T02:53:54Z,@DwayneMichaelCarter-o3j8u
"Good for him !
Let’s loose the democratic one 😂",[],2025-07-11T15:50:22Z,@teresaareces4995
I can't decide whether to laugh or cry ...,[],2025-07-11T12:50:10Z,@Ode-to-Odysseus
Underrated gem,[],2025-07-11T06:57:39Z,@PhanThiKimDung
https://youtu.be/ME6R0HDeukM?si=mwt9IWURNmgOaBKO,[],2025-07-11T00:58:00Z,@SkyesPrince
